int 0,empty 1,string2 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int 11
1000091,"","J_center",10,10,5,5,100,0,0,0,0
1007281,"","J_center",10,10,5,5,100,0,0,0,0
1000101,"","J_head",40,40,20,20,100,0,0,0,0
1001771,"","J_head",40,40,20,20,100,0,0,0,0
1000121,"","J_head",30,30,15,15,100,0,0.3,0,0
1000141,"","root",15,15,0,0,100,0,0,0,0
1000791,"","root",15,15,0,0,100,0,0,0,0
1002171,"","root",15,15,0,0,100,0,0,0,0
1000271,"","J_head",25,25,20,20,100,0,0,0,0
1000272,"","J_neck",20,20,15,15,100,0,0,0,0
1000273,"","J_spine02",20,20,15,15,100,0,0,0,0
1000501,"","J_head",90,90,45,45,100,0,0.3,0,0
1000701,"","J_eye1_r",90,90,45,45,100,0,0,0,0
1000702,"","J_eye1_l",90,90,45,45,100,0,0,0,0
1000691,"","J_eye1_r",90,90,45,45,100,0,0,0,0
1000692,"","J_eye1_l",90,90,45,45,100,0,0,0,0
1001131,"","J_eye1_r",90,90,45,45,100,0,0,0,0
1001132,"","J_eye1_l",90,90,45,45,100,0,0,0,0
1007291,"","J_eye1_r",90,90,45,45,100,0,0,0,0
1007292,"","J_eye1_l",90,90,45,45,100,0,0,0,0
1000721,"","J_neck",45,45,45,45,100,0,0,0,0
1000722,"","J_spine02",10,10,5,5,100,0,0,0,0
1004091,"","J_neck",45,45,45,45,100,0,0,0,0
1004092,"","J_spine02",10,10,5,5,100,0,0,0,0
1000881,"","J_head",30,30,15,15,100,0,0,0,0
1000882,"","J_neck",40,40,5,5,100,0,0,0,0
1007571,"","J_head",30,30,15,15,100,0,0,0,0
1007572,"","J_neck",40,40,5,5,100,0,0,0,0
1009291,"","J_head",30,30,15,15,100,0,0,0,0
1009292,"","J_neck",40,40,5,5,100,0,0,0,0
1000921,"","J_head",60,60,30,30,100,0,0.3,0,0
1000431,"","J_head",60,60,30,30,100,0,0,0,0
1000931,"","J_head",60,60,25,25,100,0,0,0,0
1007301,"","J_head",60,60,25,25,100,0,0,0,0
1001111,"","J_head",40,40,20,20,100,0,0,0,0
1005771,"","J_head",40,40,20,20,100,0,0,0,0
1005781,"","J_head",40,40,20,20,100,0,0,0,0
1001261,"","J_head",40,40,20,20,100,0,0,0,0
1001262,"","J_neck",35,35,15,15,100,0,0,0,0
1001501,"","J_head",40,40,20,20,100,0,0,0,0
1001502,"","J_neck",35,35,15,15,100,0,0,0,0
1001321,"","J_head",40,40,40,40,100,0,0,0,0
1001331,"","J_head",40,40,40,40,100,0,0,0,0
1003471,"","J_head",40,40,40,40,100,0,0,0,0
1004341,"","J_head",40,40,40,40,100,0,0,0,0
1001351,"","J_head",40,40,25,25,100,0,0,0,0
1001401,"","J_head",80,80,60,60,100,0,0,0,0
1001511,"","J_head",60,60,45,45,100,0,0.3,0,0
1001791,"","J_head",30,30,15,15,100,0,0,0,0
1007671,"","J_head",30,30,15,15,100,0,0,0,0
1002091,"","J_head",35,35,25,25,100,0,0,0,0
1002092,"","J_neck01",25,25,20,20,100,0,0,0,0
1002093,"","J_neck02",25,25,20,20,100,0,0,0,0
1002181,"","J_head",35,35,25,25,100,0,0,0,0
1002182,"","J_neck01",25,25,20,20,100,0,0,0,0
1002183,"","J_neck02",25,25,20,20,100,0,0,0,0
1002341,"","J_head",70,70,30,30,100,0,0,0,0
1009241,"","J_head",180,180,180,180,100,0,0,0,0
1009251,"","J_head",180,180,180,180,100,0,0,0,0
1003011,"","J_atama",15,15,15,15,100,0,0,0,0
1004021,"","J_atama",15,15,15,15,100,0,0,0,0
1003021,"","J_head",35,35,25,25,100,0,0,0,0
1003022,"","J_neck",25,25,20,20,100,0,0,0,0
1003131,"","J_root",40,40,0,0,100,0,0,0,0
1007521,"","J_root",40,40,0,0,100,0,0,0,0
1003261,"","J_haed",30,30,30,30,100,0,0.8,0,0
1003262,"","J_neck",10,10,10,10,50,0,0,0,0
1000541,"","J_haed",30,30,30,30,100,0,0.8,0,0
1000542,"","J_neck",10,10,10,10,50,0,0,0,0
1003411,"","J_root",15,15,0,0,100,0,0,0,0
1007601,"","J_root",15,15,0,0,100,0,0,0,0
1003701,"","J_atama",70,70,45,45,100,0,0,0,0
1007591,"","J_atama",70,70,45,45,100,0,0,0,0
1003771,"","J_atama",30,30,25,25,100,0,0,0,0
1003772,"","J_neck",20,20,10,10,100,0,0,0,0
1007551,"","J_atama",30,30,25,25,100,0,0,0,0
1007552,"","J_neck",20,20,10,10,100,0,0,0,0
1003941,"","J_atama",180,180,180,180,100,0,0.1,0,1
1005791,"","J_atama",180,180,180,180,100,0,0.1,0,1
1005801,"","J_atama",180,180,180,180,100,0,0.1,0,1
1004251,"","J_head",40,40,15,15,100,0,0,0,0
1007541,"","J_head",40,40,15,15,100,0,0,0,0
1004551,"","J_me_R",90,90,45,45,100,0,0,0,0
1004552,"","J_me_L",90,90,45,45,100,0,0,0,0
1007531,"","J_me_R",90,90,45,45,100,0,0,0,0
1007532,"","J_me_L",90,90,45,45,100,0,0,0,0
1004631,"","J_center",25,25,0,0,100,0,0,0,0
1004651,"","J_center",25,25,0,0,100,0,0,0,0
1005951,"","J_atama",90,90,45,45,100,0,0,0,0
1007561,"","J_atama",90,90,45,45,100,0,0,0,0
1007581,"","J_atama",90,90,45,45,100,0,0,0,0
1006161,"","J_head",40,40,30,30,100,0,0,0,0
1006171,"","J_head",40,40,30,30,100,0,0,0,0
1006221,"","J_head",20,20,15,15,100,0,0,0,0
1006231,"","J_head",20,20,15,15,100,0,0,0,0
1007011,"","J_neck",70,70,15,15,100,0,0,0,0
1007501,"","J_neck",70,70,15,15,100,0,0,0,0
1007221,"","J_head",30,30,10,10,100,0,0,0,0
1007222,"","J_neck",15,15,0,0,100,0,0,0,0
1007223,"","J_spine03",15,15,0,0,100,0,0,0,0
1007511,"","J_head",30,30,10,10,100,0,0,0,0
1007512,"","J_neck",15,15,0,0,100,0,0,0,0
1007513,"","J_spine03",15,15,0,0,100,0,0,0,0
1000011,"","J_neck",35,35,15,15,100,0,0.5,0,0
1000021,"","J_head",180,180,180,180,100,0,0,0,0
1000031,"","J_head",40,40,30,30,100,0,0,0,0
1000041,"","J_head",30,30,15,15,100,0,0,0,0
1000051,"","J_head",45,45,30,30,100,0,0,0,0
1000052,"","J_spine02",30,30,15,15,100,0,0,0,0
1000061,"","J_head",45,45,45,45,100,0,0,0,0
1000062,"","J_neck",35,35,30,30,100,0,0,0,0
1000111,"","J_head",20,20,20,20,100,0,0,0,0
1000131,"","J_center",50,50,45,45,100,0,0,0,0
1000151,"","head",65,65,45,45,100,0,0,0,0
1000161,"","J_head",30,30,20,20,100,0,0,0,0
1000162,"","J_neck",20,20,10,10,100,0,0,0,0
1000171,"","J_head",30,30,10,10,100,0,0,0,0
1000172,"","J_neck",20,20,20,20,100,0,0,0,0
1000191,"","J_head",30,30,20,20,100,0,0,0,0
1000192,"","J_neck03",20,20,20,20,100,0,0,0,0
1000193,"","J_neck02",20,20,10,10,100,0,0,0,0
1000194,"","J_neck01",20,20,10,10,100,0,0,0,0
1000201,"","J_head",75,75,45,45,100,0,0,0,0
1000211,"","J_head",40,40,35,35,100,0,0,0,0
1000231,"","J_head",20,20,10,10,100,0,0,0,0
1000232,"","J_neck01",10,10,10,10,100,0,0,0,0
1000233,"","J_spine02",30,30,15,15,100,0,0,0,0
1000241,"","J_head",90,90,45,45,100,0,0,0,0
1000251,"","J_head",60,60,45,45,100,0,0,0,0
1000252,"","J_neck02",60,60,30,30,100,0,0,0,0
1000253,"","J_neck01",40,40,20,20,100,0,0,0,0
1000261,"","J_head",20,20,10,10,100,0,0,0,0
1000262,"","J_neck",10,10,10,10,100,0,0,0,0
1000281,"","J_center",15,15,0,0,100,0,0,0,0
1000301,"","J_head",40,40,25,25,100,0,0,0,0
1000302,"","J_neck",30,30,15,15,100,0,0,0,0
1000311,"","J_head",45,45,30,30,100,0,0,0,0
1000312,"","J_neck",35,35,15,15,100,0,0,0,0
1000321,"","J_head",40,40,30,30,100,0,0,0,0
1000322,"","J_neck",20,20,10,10,100,0,0,0,0
1000323,"","J_spine04",20,20,0,0,100,0,0,0,0
1000331,"","J_head",30,30,10,10,100,0,0,0,0
1000332,"","J_neck",25,25,5,5,100,0,0,0,0
1000341,"","J_head",40,40,20,20,100,0,0,0,0
1000351,"","J_head",35,35,20,20,100,0,0,0,0
1000352,"","J_neck",10,10,0,0,100,0,0,0,0
1000361,"","J_head",30,30,10,10,100,0,0,0,0
1000371,"","J_haed",15,15,30,30,100,0,0,0,0
1000381,"","J_head",30,30,45,45,100,0,0,0,0
1000382,"","J_neck",20,20,30,30,100,0,0,0,0
1000383,"","J_body",20,20,15,15,100,0,0,0,0
1000391,"","J_hed",30,30,15,15,100,0,0,0,0
1000392,"","J_neck",20,20,10,10,100,0,0,0,0
1000393,"","J_spine2",20,20,5,5,100,0,0,0,0
1000401,"","J_head",30,30,10,10,100,0,0,0,0
1000402,"","J_neck",10,10,5,5,100,0,0,0,0
1000411,"","J_head",40,40,20,20,100,0,0,0,0
1000421,"","J_head",40,40,20,20,100,0,0,0,0
1000422,"","J_center",30,30,35,35,100,0,0,0,0
1000441,"","J_center",45,45,30,30,100,0,0,0,0
1000451,"","J_head",30,30,15,15,100,0,0,0,0
1000461,"","J_head",30,30,15,15,100,0,0,0,0
1000471,"","J_head",20,20,10,10,100,0,0,0,0
1000472,"","J_neck02",20,20,0,0,100,0,0,0,0
1000473,"","J_neck01",20,20,0,0,100,0,0,0,0
1000481,"","J_head",25,25,10,10,100,0,0,0,0
1000482,"","J_neck01",20,20,0,0,100,0,0,0,0
1000491,"","J_head",45,45,30,60,100,0,0,0,0
1000492,"","J_neck",15,15,10,20,100,0,0,0,0
1000511,"","J_head",60,60,25,25,100,0,0,0,0
1000521,"","J_head",90,90,45,45,100,0,0,0,0
1000531,"","J_head",60,60,45,45,100,0,0,0,0
1000532,"","J_neck1",20,20,10,10,100,0,0,0,0
1000551,"","J_joint12",90,90,45,45,100,0,0,0,0
1000561,"","J_center",60,60,45,45,100,0,0,0,0
1000571,"","J_head",40,40,20,20,100,0,0,0,0
1000581,"","J_head",10,10,0,0,100,0,0,0,0
1000582,"","J_chest",50,50,15,15,100,0,0,0,0
1000591,"","J_head",25,25,10,10,100,0,0,0,0
