int 0,int 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11
3,3,"Cam_bt_command_PC03_Boss11",4,25,0,0,2,0,0,-1,0
5,6,"Cam_bt_TPS_select01",2,15,0,0,2,1,2,-1,0
13,13,"Cam_bt_all_EM01_Boss11",1,0,0,0,0,0,0,-1,0
16,16,"Cam_bt_all_EM01_Boss11",1,0,0,0,0,0,0,-1,0
24,23,"Cam_bt_single_EM01_Boss11",2,25,0,0,0,0,0,-1,0
25,24,"Cam_bt_single_EM01_Boss11",2,25,0,0,0,0,0,67,0
27,26,"Cam_bt_damage_EM02_Boss11",3,25,0,0,0,0,0,-1,0
29,28,"Cam_bt_all_EM01_Boss11",2,0,0,0,0,0,0,-1,0
30,29,"Cam_bt_damage_EM02_Boss11",3,25,0,0,2,0,0,65,0
32,31,"Cam_bt_damage_EM02_Boss11",3,25,0,0,0,0,0,-1,0
