int 0,int 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11
1,1,"Cam_bt_in01_Boss15",1,0,0,0,0,0,0,-1,0
3,3,"Cam_bt_command_PC03_Boss15",4,25,0,0,2,0,0,-1,0
13,13,"Cam_bt_all_EM01_Boss15_03",3,0,0,0,2,0,0,-1,0
16,16,"Cam_bt_all_EM01_Boss15_03",3,0,0,0,2,0,0,-1,0
24,23,"Cam_bt_single_EM02_Boss15",2,27,0,0,0,0,2,-1,0
23,22,"Cam_bt_single_PC01_Boss15",2,19,0,0,0,0,2,36,0
25,24,"Cam_bt_single_EM02_Boss15",2,27,0,0,0,0,2,67,0
28,27,"Cam_bt_damage_PC01_Boss15",3,19,0,0,0,0,0,-1,0
30,29,"Cam_bt_damage_EM02_Boss15",3,25,0,0,2,0,0,65,0
32,31,"Cam_bt_damage_EM02_Boss15",3,25,0,0,0,0,0,-1,0
69,68,"Cam_bt_all_EM01_Boss15_03",3,0,0,0,2,0,0,-1,0
70,69,"Cam_bt_scan01_Boss15_03",3,0,0,0,2,0,0,-1,0
