int32 0,empty 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,empty 9,int32 10,empty 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int16 27,int16 28,int16 29,int16 30,int16 31,int16 32,int32 33,int16 34,int16 35,int8 36,int8 37,int8 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int8 45,int8 46,int8 47,int32 array 48,int32 array 49,int32 array 50,int32 array 51,int32 array 52,int32 array 53,int32 array 54,int32 array 55,int32 56,int32 57,empty 58,int32 59,int32 60,int32 61,int16 62,int16 63,int32 array 64,int32 65,int32 66
10011,,,1,1,0,1,1,10011,,10012,,10013,,5,0,1,50,150,1,0,0,0,-1,3,1,1,0,5,0,2,0,0,0,-1,0,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10014,,,2,2,0,5,1,10014,,0,,0,,5,6,0,0,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,32,0,100,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10015,,,4,4,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,3,0,-1,0,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10016,,,-1,-1,0,0,1,10016,,10017,,0,,5,6,0,100,100,0,0,0,0,-1,0,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10018,,,-1,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,0,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10021,,,-1,-1,0,0,1,0,,10021,,0,,5,6,0,0,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10022,,,-1,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10023,,,-1,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10024,,,-1,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
10025,,,23,-1,0,0,1,0,,0,,0,,5,6,0,100,100,0,0,0,0,-1,8,1,1,0,0,0,2,0,0,0,-1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0
