int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
10012,,,,"ef_b_hit_001_normal",2,"CP01",5,0,1,0,-1,-1,false,
10013,,,,"ef_b_hit_002_normal",2,"CP01",5,0,1,0,-1,-1,false,
10014,,,,"ef_b_bar_100",3,"18",2,1.2,0,0,-1,-1,false,
10016,,,,"ef_b_van_200",1,"",2,0,0,0,-1,-1,false,
10017,,,,"ef_b_van_205",1,"",2,0,0,0,-1,-1,false,
10018,,,,"ef_b_bos_256",3,"18",1,0,0,0,-1,-1,false,
10019,,,,"ef_b_bos_265",3,"18",1,0,0,0,-1,-1,false,
10021,,,,"ef_b_van_100",2,"GP01",2,0,0,0,-1,-1,false,
10022,,,,"ef_b_van_101",1,"",2,0,0,0,-1,-1,false,
10030,,,,"ef_b_bar_132",3,"18",2,1.2,1,0,-1,-1,false,
10031,,,,"ef_b_bar_137",3,"18",2,1.2,1,0,-1,-1,false,
10033,,,,"ef_b_hea_100",2,"CP01",2,0,0,0,-1,-1,false,
10034,,,,"ef_b_sta_100",2,"CP01",2,0,0,0,-1,-1,false,
10035,,,,"ef_b_sta_140",2,"CP01",2,0,0,0,-1,-1,false,
10036,,,,"ef_b_sta_130",2,"CP01",2,0,0,0,-1,-1,false,
10037,,,,"ef_b_sta_120",2,"TP01",2,0,0,0,-1,-1,false,
10038,,,,"ef_b_sta_150",2,"CP01",2,0,0,0,-1,-1,false,
10039,,,,"ef_b_sta_150",2,"GP01",2,0,0,0,-1,-1,false,
10040,,,,"ef_b_hea_100",2,"CP01",2,0,0,0,-1,-1,false,
10041,,,,"ef_b_hea_110",2,"CP01",2,0,0,0,-1,-1,false,
10042,,,,"ef_b_hea_100",2,"CP01",2,0,0,0,-1,-1,false,
10050,,,,"ef_b_%s_bs01",1,"",3,0,1,0,-1,-1,true,
10051,,,,"ef_b_com_750_rap",3,"15",2,0,0,0,-1,-1,false,
10052,,,,"ef_b_com_751_rap",2,"CP01",2,0,0,0,-1,-1,false,
10061,,,,"ef_b_spe_100",1,"",0,0,0,0,-1,-1,false,
10070,,,,"ef_b_%s_bl01",1,"",3,0,1,0,-1,-1,true,
10080,,,,"ef_b_van_200",1,"",3,0,1,0,-1,-1,false,
10081,,,,"ef_b_van_205",1,"",3,0,1,0,-1,-1,false,
10090,,,,"ef_b_bar_130",3,"18",2,1.2,0,0,-1,-1,false,
10091,,,,"ef_b_bar_135",3,"18",2,1.2,0,0,-1,-1,false,
10114,,,,"ef_b_bar_101",3,"18",2,1.2,0,0,-1,-1,false,
10130,,,,"ef_b_bar_133",3,"18",2,1.2,1,0,-1,-1,false,
10131,,,,"ef_b_bar_138",3,"18",2,1.2,1,0,-1,-1,false,
10134,,,,"ef_b_sta_101",2,"CP01",2,0,0,0,-1,-1,false,
10135,,,,"ef_b_sta_141",2,"CP01",2,0,0,0,-1,-1,false,
10136,,,,"ef_b_sta_131",2,"CP01",2,0,0,0,-1,-1,false,
10137,,,,"ef_b_sta_121",2,"TP01",2,0,0,0,-1,-1,false,
10190,,,,"ef_b_bar_131",3,"18",2,1.2,0,0,-1,-1,false,
10191,,,,"ef_b_bar_136",3,"18",2,1.2,0,0,-1,-1,false,
10214,,,,"ef_b_bar_140",3,"18",2,1.2,0,0,-1,-1,false,
10217,,,,"ef_b_bos_255",3,"18",1,0,0,0,-1,-1,false,
10218,,,,"ef_b_bos_255",3,"18",1,0,0,0,-1,-1,false,
10219,,,,"ef_b_bos_270",2,"FP01",1,0,0,0,-1,-1,false,
10220,,,,"ef_b_bos_272",2,"FP01",1,0,0,0,-1,-1,false,
10230,,,,"ef_b_bar_142",3,"18",2,1.2,1,0,-1,-1,false,
10231,,,,"ef_b_bar_144",3,"18",2,1.2,1,0,-1,-1,false,
10290,,,,"ef_b_bar_141",3,"18",2,1.2,0,0,-1,-1,false,
10291,,,,"ef_b_bar_143",3,"18",2,1.2,0,0,-1,-1,false,
12001,,,,"ef_b_act_100",3,"18",2,1.2,1,0,-1,-1,false,
12002,,,,"ef_b_hit_001_normal",2,"CP01",5,0.8,2,6,-1,-1,false,
12003,,,,"ef_b_hit_100_fire",2,"CP01",5,0.8,2,6,-1,-1,false,
12004,,,,"ef_b_hit_120_ice",2,"CP01",5,0.8,2,6,-1,-1,false,
12005,,,,"ef_b_hit_160_leaf",2,"CP01",5,0.8,2,6,-1,-1,false,
12006,,,,"ef_b_hit_110_water",2,"CP01",5,0.8,2,6,-1,-1,false,
12007,,,,"ef_b_hit_140_thunder",2,"CP01",5,0.8,2,6,-1,-1,false,
12008,,,,"ef_b_hit_150_steel",2,"CP01",5,0.8,2,6,-1,-1,false,
12009,,,,"ef_b_hit_130_wind",2,"CP01",5,0.8,2,6,-1,-1,false,
12010,,,,"ef_b_hit_170_rock",2,"CP01",5,0.8,2,6,-1,-1,false,
12011,,,,"ef_b_hit_180_light",2,"CP01",5,0.8,2,6,-1,-1,false,
12012,,,,"ef_b_hit_190_dark",2,"CP01",5,0.8,2,6,-1,-1,false,
12013,,,,"ef_b_hit_100_fire",3,"18",2,0.8,1,0,-1,-1,false,
12014,,,,"ef_b_bos_370",2,"CP01",2,0,1,0,-1,-1,false,
12015,,,,"ef_b_bos_500",2,"CP01",5,0,1,0,-1,-1,false,
12101,,,,"",1,"",3,0,1,0,-1,-1,false,
13002,,,,"ef_b_com_002_hit",2,"CP01",2,0,1,0,-1,-1,false,
13003,,,,"ef_b_com_715_tri",5,"",1,0,0,0,-1,-1,false,
13004,,,,"ef_b_com_720_spa",5,"",1,0,1,0,-1,-1,false,
20011,,,,"ef_b_chr001_bs01",1,"",3,0,1,0,-1,-1,false,
20021,,,,"ef_b_chr002_bs01",1,"",3,0,1,0,-1,-1,false,
20031,,,,"ef_b_chr003_bs01",1,"",3,0,1,0,-1,-1,false,
20041,,,,"ef_b_chr004_bs01",1,"",3,0,1,0,0,-1,false,
20051,,,,"ef_b_chr005_bs01",1,"",3,0,1,0,-1,-1,false,
20061,,,,"ef_b_chr006_bs01",1,"",3,0,1,0,-1,-1,false,
20091,,,,"ef_b_chr009_bs01",1,"",3,0,1,0,-1,-1,false,
20101,,,,"ef_b_chr010_bs01",1,"",3,0,1,0,-1,-1,false,
20111,,,,"ef_b_chr011_bs01",1,"",3,0,1,0,-1,-1,false,
20121,,,,"ef_b_chr012_bs01",1,"",3,0,1,0,-1,-1,false,
20131,,,,"ef_b_chr013_bs01",1,"",3,0,1,0,-1,-1,false,
20141,,,,"ef_b_chr014_bs01",1,"",3,0,1,0,-1,-1,false,
20151,,,,"ef_b_chr015_bs01",1,"",3,0,1,0,-1,-1,false,
20161,,,,"ef_b_chr016_bs01",1,"",3,0,1,0,-1,-1,false,
20171,,,,"ef_b_chr017_bs01",1,"",3,0,1,0,-1,-1,false,
20191,,,,"ef_b_chr019_bs01",1,"",3,0,1,0,0,-1,false,
20192,,,,"ef_b_chr019_bs02",1,"",3,0,1,0,-1,-1,false,
20201,,,,"ef_b_chr020_bs01",1,"",3,0,1,0,-1,-1,false,
20211,,,,"ef_b_chr021_bs01",1,"",3,0,1,0,0,-1,false,
20231,,,,"ef_b_chr023_bs01",1,"",3,0,1,0,-1,-1,false,
20241,,,,"ef_b_chr024_bs01",1,"",3,0,1,0,-1,-1,false,
20251,,,,"ef_b_chr025_bs01",1,"",3,0,1,0,-1,-1,false,
20261,,,,"ef_b_chr026_bs01",1,"",3,0,1,0,-1,-1,false,
20271,,,,"ef_b_chr027_bs01",1,"",3,0,1,0,0,-1,false,
20272,,,,"ef_b_chr027_bs02",1,"",3,0,1,0,-1,-1,false,
20281,,,,"ef_b_chr028_bs01",1,"",3,0,1,0,-1,-1,false,
20301,,,,"ef_b_chr030_bs01",1,"",3,0,1,0,-1,-1,false,
20311,,,,"ef_b_chr031_bs01",1,"",3,0,1,0,0,-1,false,
20321,,,,"ef_b_chr032_bs01",1,"",3,0,1,0,0,-1,false,
20322,,,,"ef_b_chr032_bs02",1,"",3,0,1,0,0,-1,false,
20331,,,,"ef_b_chr033_bs01",1,"",3,0,1,0,-1,-1,false,
20341,,,,"ef_b_chr034_bs01",1,"",3,0,1,0,-1,-1,false,
20351,,,,"ef_b_chr035_bs01",1,"",3,0,1,0,-1,-1,false,
20352,,,,"ef_b_chr035_bs02",1,"",3,0,1,0,-1,-1,false,
20361,,,,"ef_b_chr036_bs01",1,"",3,0,1,0,0,-1,false,
20362,,,,"ef_b_chr036_bs02",1,"",3,0,1,0,0,-1,false,
20371,,,,"ef_b_chr037_bs01",1,"",3,0,1,0,-1,-1,false,
