int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13
1,100,100,100,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100,100,100
5,100,100,100,100,100,100,100,100,100,100,100,100,100
6,100,100,100,100,100,100,100,100,100,100,100,100,100
7,100,100,100,100,100,100,100,100,100,100,100,100,100
8,100,100,100,100,100,100,100,100,100,100,100,100,100
9,100,100,100,100,100,100,100,100,100,100,100,100,100
10,100,100,100,100,100,100,100,100,100,100,100,100,100
11,100,100,100,100,100,100,100,100,100,100,100,100,100
12,100,100,100,100,100,100,100,100,100,100,100,100,100
13,100,100,100,100,100,100,100,100,100,100,100,100,100
