int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13
1,100,100,100,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100,100,100
5,100,100,100,100,100,100,100,100,100,100,100,100,100
6,100,100,100,100,100,100,100,100,100,100,100,100,100
7,100,100,100,100,100,100,100,100,100,100,100,100,100
8,100,100,100,100,100,100,100,100,100,100,100,100,100
9,100,100,100,100,100,100,100,100,100,100,100,100,100
10,100,100,100,100,100,100,100,100,100,100,100,100,100
11,100,100,100,100,100,100,100,100,100,100,100,100,100
12,100,100,100,100,100,100,100,100,100,100,100,100,100
13,100,100,100,100,100,100,100,100,100,100,100,100,100
