int 0,empty 1,string2 2,string2 3
1,"","em001",""
2,"","em002",""
3,"","em003",""
4,"","em004",""
5,"","em005",""
6,"","em006",""
7,"","em007",""
8,"","em008",""
9,"","em009",""
10,"","bs001_EM",""
11,"","bs001_PC",""
20,"","bs002_EM","Loc_bt_pos01"
21,"","bs002_PC",""
22,"","_bs002_EM","Loc_bt_pos02"
23,"","_bs002_PC","Loc_bt_pos02"
30,"","bs003_EM",""
31,"","bs003_PC",""
32,"","bs003_EM2",""
33,"","bs003_PC2",""
34,"","bs003_EM3",""
35,"","bs003_EM4",""
36,"","bs003_PC3",""
37,"","bs003_EM5",""
38,"","bs003_PC5",""
40,"","bs004_EM","Loc_bt_pos05"
41,"","bs004_PC",""
43,"","bs004_PC2",""
42,"","_bs004_EM","Loc_bt_pos04"
50,"","bs005_EM","Loc_bt_pos06"
51,"","bs005_PC",""
60,"","bs006_EM",""
61,"","bs006_PC",""
62,"","bs006_EM2",""
70,"","bs007_EM","Loc_bt_pos03"
71,"","bs007_PC",""
80,"","bs008_EM","Loc_bt_pos02"
81,"","bs008_PC",""
82,"","bs008_PC2",""
100,"","bs010_EM",""
101,"","bs010_PC",""
120,"","bs012_EM","Loc_bt_pos07"
121,"","bs012_PC",""
140,"","bs014_EM",""
141,"","bs014_PC",""
142,"","bs014_EM2",""
143,"","bs014_PC2",""
150,"","bs015_EM","Loc_bt_pos09"
151,"","bs015_PC","Loc_bt_pos09"
201,"","pl003","Loc_bt_pos08"
300,"","bs020_EM","Loc_bt_pos20"
301,"","bs021_EM","Loc_bt_pos21"
302,"","bs022_EM","Loc_bt_pos22"
801,"","ca001",""
802,"","ca002",""
803,"","pl001",""
804,"","pl002",""
805,"","pl004",""
806,"","pl005",""
807,"","pl006",""
