int32 0,int32 1,int32 2,bool 3,empty 4,empty 5,int32 6,int32 7,int32 8,int32 9,empty 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,int32 18,int32 19,empty 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,empty 30,int32 31,int32 32,int32 33,int32 34,empty 35,int32 36,int32 37,int32 38,int32 39,empty 40,int32 41,int32 42,int32 43,int32 44,empty 45,int32 46,int32 47,int32 48,int32 49,empty 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59
0,-1,0,false,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11035,200001,3,false,,,25,20,10,2,,26,20,10,2,,27,20,10,2,,28,20,10,2,,29,20,10,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11036,-1,3,false,,,25,20,30,2,,26,20,30,2,,27,20,30,2,,28,20,30,2,,29,20,30,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11037,-1,3,false,,,33,20,30,2,,34,20,30,2,,35,20,30,2,,36,20,30,2,,37,20,30,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11038,200001,3,false,,,25,20,15,2,,26,20,15,2,,27,20,15,2,,28,20,15,2,,29,20,15,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11039,200002,3,false,,,33,20,15,2,,34,20,15,2,,35,20,15,2,,36,20,15,2,,37,20,15,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11040,200008,3,false,,,64,10,25,2,,65,10,25,2,,66,10,25,2,,67,10,25,2,,68,10,25,2,,69,10,25,2,,70,10,25,2,,71,10,25,2,,72,10,25,2,,73,10,25,2,,63,10,25,2
11041,200007,3,false,,,42,10,25,2,,43,10,25,2,,44,10,25,2,,45,10,25,2,,46,10,25,2,,47,10,25,2,,48,10,25,2,,49,10,25,2,,50,10,25,2,,51,10,25,2,,41,10,25,2
11042,200010,3,false,,,3,20,0,-1,,5,20,0,5,,6,20,0,5,,7,20,0,5,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11044,-1,3,false,,,3,80,0,-1,,8,20,0,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11045,-1,3,false,,,5,80,0,5,,10,20,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11046,-1,3,false,,,6,85,0,5,,11,15,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11047,-1,3,false,,,7,80,0,5,,12,20,0,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20051,-1,0,false,,,34,100,10,0,,6,50,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20221,-1,0,false,,,114,0,0,0,,112,0,0,0,,113,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20242,-1,0,false,,,114,0,0,0,,115,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20281,20281,0,false,,,20,100,20,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20341,-1,0,false,,,8,100,0,0,,118,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20362,-1,0,false,,,10,80,0,0,,36,100,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20462,-1,0,false,,,33,70,20,0,,34,70,20,0,,35,70,20,0,,36,70,20,0,,13,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20472,-1,0,false,,,35,70,20,0,,13,70,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20591,-1,0,false,,,36,100,10,0,,6,60,0,0,,11,20,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20691,-1,0,false,,,35,100,10,0,,36,100,10,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20692,-1,0,false,,,33,100,30,0,,34,100,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
20802,-1,0,false,,,34,100,20,0,,118,50,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21271,-1,0,false,,,33,100,50,1,,35,100,50,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21282,-1,0,false,,,94,100,20,2,,96,100,20,2,,47,100,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21284,200003,0,true,,,41,100,0,3,,42,100,0,3,,43,100,0,3,,44,100,0,3,,45,100,0,3,,46,100,0,3,,47,100,0,3,,48,100,0,3,,49,100,0,3,,50,100,0,3,,51,100,0,3
21301,-1,0,false,,,5,0,0,0,,10,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21681,-1,0,false,,,68,100,0,0,,34,100,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21703,-1,0,true,,,85,100,21702,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21721,-1,0,false,,,33,100,30,0,,35,100,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21733,-1,0,false,,,25,100,50,4,,26,100,50,4,,27,100,50,4,,28,100,50,4,,29,100,50,4,,30,100,50,4,,32,100,50,4,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21832,-1,2,true,,,103,100,0,0,,31,100,30,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
21863,-1,0,true,,,85,100,21862,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
22221,-1,0,false,,,36,100,10,0,,13,50,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
22261,-1,0,false,,,6,100,0,0,,37,100,20,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
22321,-1,0,false,,,5,50,0,0,,34,100,10,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
