int 0,int 1,int 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12
0,53,3,"vo_{d0}_Attack_001.wav","vo_{d0}_Attack_002.wav","vo_{d0}_Attack_003.wav","","","","","","",""
1,54,1,"vo_{d0}_Sadness_001.wav","vo_{d0}_Frustrating_001.wav","","","","","","","",""
2,55,0,"vo_{d0}_Frustrating_001.wav","","","","","","","","",""
3,56,3,"vo_{d0}_gratitude_001.wav","vo_{d0}_Joy_001.wav","vo_{d0}_Fun_001.wav","","","","","","",""
4,57,2,"vo_{d0}_Joy_001.wav","vo_{d0}_Fun_001.wav","","","","","","","",""
5,58,1,"vo_{d0}_gratitude_001.wav","","","","","","","","",""
6,59,1,"vo_{d0}_Accept_001.wav","","","","","","","","",""
7,60,1,"vo_{d0}_Joy_001.wav","","","","","","","","",""
8,61,2,"vo_{d0}_Fun_001.wav","vo_{d0}_Joy_001.wav","","","","","","","",""
9,43,2,"vo_{d0}_Fun_001.wav","vo_{d0}_Joy_001.wav","","","","","","","",""
10,62,2,"vo_{d0}_Fun_001.wav","vo_{d0}_Joy_001.wav","","","","","","","",""
11,63,1,"vo_{d0}_Accept_001.wav","","","","","","","","",""
12,64,1,"vo_{d0}_Accept_001.wav","","","","","","","","",""
13,65,2,"vo_{d0}_preparation_001.wav","vo_{d0}_preparation_002.wav","","","","","","","",""
