int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,empty 7,int 8
1,1,"",-1,"",0,-1,"",1088001
2,1,"",-1,"",2,-1,"",1088002
3,1,"",-1,"",3,-1,"",1088003
4,1,"",-1,"",8,20881,"",1088004
5,1,"",-1,"",8,20881,"",1088005
6,1,"",-1,"",8,20881,"",1088006
7,1,"",-1,"",8,20882,"",1088008
8,1,"",-1,"",8,20882,"",1088009
9,1,"",-1,"",8,20882,"",1088010
10,2,"",-1,"",0,-1,"",3002001
11,2,"",-1,"",0,-1,"",3002002
12,2,"",-1,"",2,-1,"",3002011
13,2,"",-1,"",2,-1,"",3002012
14,2,"",-1,"",3,-1,"",3002013
15,2,"",-1,"",3,-1,"",3002014
16,2,"",-1,"",6,-1,"",3002009
17,2,"",-1,"",6,-1,"",3002010
18,2,"",-1,"",4,-1,"",3002008
19,2,"",-1,"",5,-1,"",3002004
20,2,"",-1,"",7,-1,"",3002006
21,2,"",-1,"",7,-1,"",3002007
