int 0,string2 1,empty 2,int 3,string2 4,int 5,int 6,int 7,empty 8
0,"0","",95,"",0,0,-1,""
101,"101","",97,"",101,101,-1,""
113,"113","",107,"",113,113,-1,""
114,"114","",108,"",114,114,-1,""
121,"121","",98,"",121,121,-1,""
204,"204","",116,"",204,204,-1,""
206,"206","",117,"",206,206,-1,""
307,"307","",123,"",307,307,-1,""
312,"312","",130,"",312,312,-1,""
317,"317","",133,"",317,317,-1,""
320,"320","",213,"",320,320,-1,""
610,"610","",140,"",610,610,-1,""
804,"804","",141,"",804,804,-1,""
902,"902","",146,"",902,902,-1,""
907,"907","",152,"",907,907,-1,""
908,"908","",151,"",908,908,-1,""
911,"911","",154,"",911,911,-1,""
927,"927","",169,"",927,927,-1,""
929,"928","",170,"",929,929,-1,""
935,"935","",176,"",935,935,-1,""
