string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"ba01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"ba02","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bd01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bd02","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bd03","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bf01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bg01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bg02","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bn01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bn02","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"br01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bs01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bs02","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"bv01","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"e002","j_feather_l",0,"j_feather_r",0,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
"e003","j_feather_l",1,"j_feather_r",1,"j_feather_l",1,"j_feather_r",1,"",0,"",0,"",0,"",0,"",0,"",0
