string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"ba01","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
"bc01","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
"bc01_01","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
"bc01_02","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bc01_03","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bc01_04","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bc01_05","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bc01_06","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
"bd01","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bi01","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bi02","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bl01","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bn01","f_hair",0,"l_f_hair",0,"r_f_hair",0,"b_hair",0,"l_b_hair",0,"r_hair",0,"r_b_hair",0,"r_b_muf01",0,"l_b_muf01",0,"",0
"bs01","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
"e002","f_hair",0.5,"l_f_hair",0.5,"r_f_hair",0.5,"b_hair",0.5,"l_b_hair",0.5,"r_hair",0.5,"r_b_hair",0.5,"r_b_muf01",0.5,"l_b_muf01",0.5,"",0
