string2 0,string2 1,float 2,string2 3,float 4,string2 5,float 6,string2 7,float 8,string2 9,float 10,string2 11,float 12,string2 13,float 14,string2 15,float 16,string2 17,float 18,string2 19,float 20
"ba01","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_01","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_02","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_03","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_04","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_05","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc01_06","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc02_01","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
"bc02_03","r_skirt01_2",1,"r_skirt02_2",1,"l_skirt01_2",1,"l_skirt02_2",1,"m_skirt01_2",1,"",0,"",0,"",0,"",0,"",0
