int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15
1,,1,1,0,100,1,1,50,35,25,20,15,10,5,
2,,2,2,0,200,2,1,50,35,25,20,15,10,5,
3,,3,3,0,300,3,1,50,35,25,20,15,10,5,
4,,4,4,0,400,4,1,50,35,25,20,15,10,5,
5,,5,5,0,500,5,1,50,35,25,20,15,10,5,
6,,6,6,0,600,6,1,50,35,25,20,15,10,5,
7,,7,7,0,700,7,1,50,35,25,20,15,10,5,
8,,8,8,0,800,8,1,50,35,25,20,15,10,5,
9,,9,9,0,900,9,1,50,35,25,20,15,10,5,
10,,10,10,0,1000,10,1,50,35,25,20,15,10,5,
11,,11,11,0,1100,9,1,50,35,25,20,15,10,5,
12,,12,12,0,1200,8,1,50,35,25,20,15,10,5,
13,,13,13,0,1300,7,1,50,35,25,20,15,10,5,
14,,14,14,0,1400,6,1,50,35,25,20,15,10,5,
15,,15,15,0,1500,5,1,50,35,25,20,15,10,5,
