int32 0,int32 1,empty 2,int32 3,int32 4,empty 5,int32 6,empty 7,int32 8,empty 9,int32 10,empty 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,empty 18
1,1,,0,363,,61,,-1,,-1,,-1,,-1,0,0,0,
2,2,,0,316,,317,,466,,20,,-1,,-1,0,0,0,
3,3,,0,2,,758,,-1,,-1,,-1,,-1,0,0,0,
4,4,,0,3,,183,,-1,,-1,,-1,,-1,0,0,0,
5,5,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
6,6,,0,93,,394,,-1,,-1,,-1,,-1,0,0,0,
7,9,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
8,10,,0,52,,242,,241,,728,,-1,,-1,0,0,0,
9,11,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
10,12,,0,151,,347,,-1,,-1,,-1,,-1,0,0,0,
11,13,,0,97,,626,,-1,,-1,,-1,,-1,0,0,0,
12,14,,0,79,,217,,-1,,-1,,-1,,-1,0,0,0,
13,15,,0,706,,308,,-1,,-1,,-1,,-1,0,0,0,
14,16,,0,458,,341,,-1,,-1,,-1,,-1,0,0,0,
15,17,,0,372,,111,,-1,,-1,,-1,,-1,0,0,0,
16,19,,0,407,,192,,-1,,-1,,-1,,-1,0,0,0,
17,20,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
18,21,,0,389,,343,,622,,-1,,-1,,-1,0,0,0,
19,23,,0,365,,91,,-1,,-1,,-1,,-1,0,0,0,
20,24,,0,103,,52,,709,,240,,399,,-1,0,0,0,
21,25,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
22,26,,0,396,,703,,-1,,-1,,-1,,-1,0,0,0,
23,27,,0,302,,148,,-1,,-1,,-1,,-1,0,0,0,
24,28,,0,412,,44,,-1,,-1,,-1,,-1,0,0,0,
25,30,,0,457,,361,,-1,,-1,,-1,,-1,0,0,0,
26,31,,0,30,,85,,-1,,-1,,-1,,-1,0,0,0,
27,32,,0,31,,457,,30,,-1,,-1,,-1,0,0,0,
28,33,,0,102,,598,,111,,-1,,-1,,-1,0,0,0,
29,34,,0,421,,107,,-1,,-1,,-1,,-1,0,0,0,
30,35,,0,81,,72,,-1,,-1,,-1,,-1,0,0,0,
31,36,,0,404,,627,,-1,,-1,,-1,,-1,0,0,0,
32,37,,0,434,,450,,196,,-1,,-1,,-1,0,0,0,
33,38,,0,315,,93,,-1,,-1,,-1,,-1,0,0,0,
34,39,,0,390,,774,,738,,703,,-1,,-1,0,0,0,
35,40,,0,439,,80,,375,,-1,,-1,,-1,0,0,0,
36,41,,0,61,,87,,93,,-1,,-1,,-1,0,0,0,
37,42,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
38,43,,0,361,,97,,-1,,-1,,-1,,-1,0,0,0,
39,44,,0,412,,411,,-1,,-1,,-1,,-1,0,0,0,
40,45,,0,168,,575,,-1,,-1,,-1,,-1,0,0,0,
41,46,,0,912,,774,,-1,,-1,,-1,,-1,0,0,0,
42,47,,0,134,,35,,-1,,-1,,-1,,-1,0,0,0,
43,48,,0,101,,230,,-1,,-1,,-1,,-1,0,0,0,
44,49,,0,479,,403,,409,,-1,,-1,,-1,0,0,0,
45,50,,0,322,,307,,303,,361,,-1,,-1,0,0,0,
46,51,,0,52,,474,,-1,,-1,,-1,,-1,0,0,0,
47,52,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
48,53,,1,-1,,-1,,-1,,-1,,-1,,0,2,0,0,
49,54,,0,50,,55,,-1,,-1,,-1,,-1,0,0,0,
50,55,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
51,56,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
52,57,,0,359,,349,,348,,-1,,-1,,-1,0,0,0,
53,58,,0,56,,611,,-1,,-1,,-1,,-1,0,0,0,
54,59,,0,413,,621,,-1,,-1,,-1,,-1,0,0,0,
55,60,,0,59,,403,,-1,,-1,,-1,,-1,0,0,0,
56,61,,0,708,,70,,621,,-1,,-1,,-1,0,0,0,
57,68,,0,55,,10,,-1,,-1,,-1,,-1,0,0,0,
58,69,,0,753,,113,,-1,,-1,,-1,,-1,0,0,0,
59,70,,2,-1,,-1,,-1,,-1,,-1,,-1,0,3,2,
60,71,,0,54,,309,,-1,,-1,,-1,,-1,0,0,0,
61,73,,0,58,,588,,-1,,-1,,-1,,-1,0,0,0,
62,74,,0,68,,584,,-1,,-1,,-1,,-1,0,0,0,
63,75,,0,606,,368,,907,,145,,-1,,-1,0,0,0,
64,76,,0,240,,399,,709,,-1,,-1,,-1,0,0,0,
65,77,,0,53,,219,,-1,,-1,,-1,,-1,0,0,0,
66,78,,0,90,,81,,-1,,-1,,-1,,-1,0,0,0,
67,79,,0,437,,512,,708,,-1,,-1,,-1,0,0,0,
68,80,,0,140,,718,,747,,146,,-1,,-1,0,0,0,
69,81,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
70,82,,0,15,,548,,-1,,-1,,-1,,-1,0,0,0,
71,83,,0,82,,410,,-1,,-1,,-1,,-1,0,0,0,
72,84,,0,77,,87,,410,,723,,-1,,-1,0,0,0,
73,85,,0,93,,97,,-1,,-1,,-1,,-1,0,0,0,
74,86,,0,84,,575,,4,,-1,,-1,,-1,0,0,0,
75,87,,0,96,,151,,-1,,-1,,-1,,-1,0,0,0,
76,88,,0,27,,135,,-1,,-1,,-1,,-1,0,0,0,
77,91,,0,392,,42,,-1,,-1,,-1,,-1,0,0,0,
78,92,,0,361,,377,,-1,,-1,,-1,,-1,0,0,0,
79,93,,0,97,,87,,-1,,-1,,-1,,-1,0,0,0,
80,94,,0,71,,49,,-1,,-1,,-1,,-1,0,0,0,
81,95,,0,74,,49,,-1,,-1,,-1,,-1,0,0,0,
82,96,,0,325,,320,,-1,,-1,,-1,,-1,0,0,0,
83,97,,1,-1,,-1,,-1,,-1,,-1,,2,2,0,0,
84,98,,0,52,,375,,-1,,-1,,-1,,-1,0,0,0,
85,100,,0,750,,97,,81,,-1,,-1,,-1,0,0,0,
86,101,,0,87,,12,,-1,,-1,,-1,,-1,0,0,0,
87,102,,0,510,,708,,437,,-1,,-1,,-1,0,0,0,
88,104,,0,677,,678,,-1,,-1,,-1,,-1,0,0,0,
89,105,,0,126,,603,,150,,-1,,-1,,-1,0,0,0,
90,106,,0,632,,630,,626,,627,,-1,,-1,0,0,0,
91,107,,0,93,,148,,-1,,-1,,-1,,-1,0,0,0,
92,112,,0,466,,325,,-1,,-1,,-1,,-1,0,0,0,
93,113,,0,70,,760,,-1,,-1,,-1,,-1,0,0,0,
94,115,,0,687,,50,,90,,114,,-1,,-1,0,0,0,
95,116,,0,115,,87,,16,,-1,,-1,,-1,0,0,0,
96,117,,0,310,,721,,740,,-1,,-1,,-1,0,0,0,
97,118,,0,49,,117,,-1,,-1,,-1,,-1,0,0,0,
98,126,,0,134,,47,,150,,-1,,-1,,-1,0,0,0,
99,127,,0,311,,429,,-1,,-1,,-1,,-1,0,0,0,
100,128,,0,306,,423,,-1,,-1,,-1,,-1,0,0,0,
101,129,,0,606,,240,,130,,-1,,-1,,-1,0,0,0,
102,130,,0,103,,709,,389,,-1,,-1,,-1,0,0,0,
103,132,,0,347,,344,,-1,,-1,,-1,,-1,0,0,0,
104,133,,0,347,,93,,-1,,-1,,-1,,-1,0,0,0,
105,134,,0,78,,211,,-1,,-1,,-1,,-1,0,0,0,
106,135,,0,140,,87,,-1,,-1,,-1,,-1,0,0,0,
107,136,,0,2,,234,,-1,,-1,,-1,,-1,0,0,0,
108,137,,0,136,,10,,-1,,-1,,-1,,-1,0,0,0,
109,138,,0,137,,183,,-1,,-1,,-1,,-1,0,0,0,
110,139,,0,114,,586,,-1,,-1,,-1,,-1,0,0,0,
111,140,,0,12,,374,,97,,-1,,-1,,-1,0,0,0,
112,141,,2,-1,,-1,,-1,,-1,,-1,,-1,0,8,2,
113,142,,0,348,,611,,706,,-1,,-1,,-1,0,0,0,
114,144,,2,-1,,-1,,-1,,-1,,-1,,-1,0,8,2,
115,145,,0,606,,368,,-1,,-1,,-1,,-1,0,0,0,
116,146,,0,96,,363,,-1,,-1,,-1,,-1,0,0,0,
117,147,,0,92,,363,,-1,,-1,,-1,,-1,0,0,0,
118,148,,0,92,,326,,-1,,-1,,-1,,-1,0,0,0,
119,149,,2,-1,,-1,,-1,,-1,,-1,,-1,0,4,2,
120,150,,0,134,,35,,-1,,-1,,-1,,-1,0,0,0,
121,151,,0,438,,96,,348,,343,,-1,,-1,0,0,0,
122,163,,0,162,,172,,75,,-1,,-1,,-1,0,0,0,
123,168,,0,184,,186,,187,,188,,185,,-1,0,0,0,
124,169,,0,168,,170,,604,,-1,,-1,,-1,0,0,0,
125,170,,0,421,,315,,-1,,-1,,-1,,-1,0,0,0,
126,171,,0,170,,183,,-1,,-1,,-1,,-1,0,0,0,
127,172,,0,368,,606,,76,,21,,-1,,-1,0,0,0,
128,173,,0,137,,377,,47,,-1,,-1,,-1,0,0,0,
129,174,,0,403,,492,,-1,,-1,,-1,,-1,0,0,0,
131,176,,0,232,,179,,-1,,-1,,-1,,-1,0,0,0,
132,177,,0,10,,758,,-1,,-1,,-1,,-1,0,0,0,
133,178,,0,609,,760,,-1,,-1,,-1,,-1,0,0,0,
134,179,,0,232,,410,,-1,,-1,,-1,,-1,0,0,0,
135,180,,0,440,,399,,-1,,-1,,-1,,-1,0,0,0,
136,181,,0,747,,173,,733,,-1,,-1,,-1,0,0,0,
138,183,,0,564,,452,,-1,,-1,,-1,,-1,0,0,0,
139,184,,0,183,,47,,-1,,-1,,-1,,-1,0,0,0,
140,185,,0,183,,38,,-1,,-1,,-1,,-1,0,0,0,
141,186,,0,183,,315,,-1,,-1,,-1,,-1,0,0,0,
142,187,,0,183,,135,,-1,,-1,,-1,,-1,0,0,0,
143,188,,0,183,,176,,-1,,-1,,-1,,-1,0,0,0,
144,189,,0,176,,742,,57,,83,,-1,,-1,0,0,0,
145,190,,2,-1,,-1,,-1,,-1,,-1,,-1,0,2,2,
146,191,,0,190,,219,,208,,-1,,-1,,-1,0,0,0,
147,192,,0,191,,220,,209,,-1,,-1,,-1,0,0,0,
148,193,,0,192,,401,,-1,,-1,,-1,,-1,0,0,0,
149,194,,0,195,,616,,-1,,-1,,-1,,-1,0,0,0,
150,195,,0,43,,80,,-1,,-1,,-1,,-1,0,0,0,
151,196,,0,606,,129,,-1,,-1,,-1,,-1,0,0,0,
152,197,,0,414,,302,,-1,,-1,,-1,,-1,0,0,0,
153,198,,0,615,,596,,-1,,-1,,-1,,-1,0,0,0,
154,199,,0,592,,452,,347,,-1,,-1,,-1,0,0,0,
155,208,,1,-1,,-1,,-1,,-1,,-1,,1,2,0,0,
156,209,,0,208,,114,,458,,-1,,-1,,-1,0,0,0,
157,210,,0,218,,25,,-1,,-1,,-1,,-1,0,0,0,
