int32 0,string3 1,string2 2,empty 3
10,"CB_Before_A_RW","FLAG_CARD_001",
11,"CB_After_D_RW","FLAG_CARD_002",
12,"CB_After_E_RW","FLAG_CARD_003",
13,"CB_Before_A_RW","FLAG_CARD_004",
14,"CB_Before_A_RW","FLAG_CARD_005",
20,"CB_Before_A_RW","FLAG_CARD_006",
21,"CB_Before_B_RW","FLAG_CARD_007",
22,"CB_After_F_RW","FLAG_CARD_008",
23,"CB_Before_A_RW","FLAG_CARD_009",
30,"CB_Before_B_RW","FLAG_CARD_010",
40,"CB_After_D_RW","FLAG_CARD_011",
41,"CB_Tutorial","FLAG_CARD_045",
901,"CB_CardKing","FLAG_CARD_044",
903,"CB_True_CardKing","FLAG_CARD_052",
1201,"CB_After_D_CA","FLAG_CARD_012",
1202,"CB_Before_A_CE","FLAG_CARD_013",
1203,"CB_After_E_CA","FLAG_CARD_014",
1204,"CB_Before_B_CE","FLAG_CARD_015",
1205,"CB_Before_C_CE","FLAG_CARD_016",
1206,"CB_After_D_CB","FLAG_CARD_017",
1207,"CB_Before_A_CE","FLAG_CARD_018",
1208,"CB_After_E_CB","FLAG_CARD_019",
1209,"CB_After_F_CB","FLAG_CARD_020",
1210,"CB_After_F_CB","FLAG_CARD_021",
1250,"CB_Agumon","FLAG_CARD_046",
1251,"CB_Gabumon","FLAG_CARD_047",
1252,"CB_Craniamon","FLAG_CARD_048",
1253,"CB_Enbarrmon","FLAG_CARD_049",
1254,"CB_Dukemon","FLAG_CARD_050",
1301,"CB_Before_A_SE","FLAG_CARD_022",
1302,"CB_Before_B_SE","FLAG_CARD_023",
1303,"CB_After_D_SE","FLAG_CARD_024",
1304,"CB_After_E_SE","FLAG_CARD_025",
1305,"CB_After_F_SE","FLAG_CARD_026",
1306,"CB_Before_C_SE","FLAG_CARD_027",
1401,"CB_After_D_FO","FLAG_CARD_028",
1402,"CB_After_E_FO","FLAG_CARD_029",
1403,"CB_Before_A_FO","FLAG_CARD_030",
1404,"CB_Before_B_FO","FLAG_CARD_031",
1405,"CB_Before_C_FO","FLAG_CARD_032",
1406,"CB_After_F_FO","FLAG_CARD_033",
1407,"CB_After_D_FO","FLAG_CARD_034",
1501,"CB_After_D_FA","FLAG_CARD_035",
1502,"CB_After_E_FA","FLAG_CARD_036",
1503,"CB_Before_B_FA","FLAG_CARD_037",
1504,"CB_Syurimon","FLAG_CARD_038",
1505,"CB_Before_A_FA","FLAG_CARD_043",
1701,"CB_After_D_PL","FLAG_CARD_039",
1702,"CB_After_E_PL","FLAG_CARD_040",
1703,"CB_After_F_PL","FLAG_CARD_041",
11201,"CB_After_F_RW","FLAG_CARD_042",
11202,"CB_Beelzemon","FLAG_CARD_051",
