string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int32 6,int32 7,string2 8,int32 9,string2 10,int32 11,string2 12,int32 13
"char_EX-TYRANOMON",,,"chr001","1001",,0,0,"cmc002",0,"",0,"",0
"char_LUNAMON",,,"chr002","1002",,1,0,"cfc001",0,"mpc002",0,"",0
"char_LEKISMON",,,"chr003","1003",,1,0,"yfb001",0,"",0,"",0
"char_CRESCEMON",,,"chr004","1004",,1,0,"yfb001",0,"",0,"",0
"char_GOLEMON",,,"chr005","1005",,0,0,"yma007",0,"",0,"",0
"char_SKULLSATAMON",,,"chr006","1006",,0,0,"yma009",0,"",0,"",0
"char_HAGURUMON",,,"chr009","1009",,0,0,"cmb002",0,"",0,"",0
"char_MERAMON",,,"chr010","1010",,0,0,"yma009",0,"",0,"",0
"char_AIRDRAMON",,,"chr011","1011",,0,0,"yma012",0,"",0,"",0
"char_GARURUMON",,,"chr012","1012",,0,0,"ymb004",0,"",0,"",0
"char_BAKEMON",,,"chr013","1013",,0,0,"ymd001",0,"",0,"",0
"char_STARMON",,,"chr014","1014",,0,0,"yma004",0,"",0,"",0
"char_AQUILAMON",,,"chr015","1015",,0,0,"ymb009",0,"",0,"",0
"char_STRIKEDRAMON",,,"chr016","1016",,0,0,"ymb001",0,"",0,"",0
"char_MINOTAURMON",,,"chr017","1017",,0,0,"yma009",0,"",0,"",0
"char_DORUGORAMON",,,"chr019","1019",,0,0,"mma004",0,"",0,"",0
"char_TYUMON",,,"chr020","1020",,0,0,"cmd003",0,"",0,"",0
"char_WHAMON",,,"chr021","1021",,0,0,"mmc001",0,"",0,"",0
"char_WHAMON_BIG",,,"chr917","1021",,0,0,"mmc001",0,"",0,"",0
"char_DINOBEEMON",,,"chr023","1023",,0,0,"ymb006",0,"",0,"",0
"char_MARINEANGEMON",,,"chr024","1024",,1,0,"yfc001",0,"",0,"",0
"char_RAPTORDRAMON",,,"chr025","1025",,0,0,"yma008",0,"",0,"",0
"char_GRADEMON",,,"chr026","1026",,0,0,"ymb002",0,"",0,"",0
"char_WARGREYMON",,,"chr027","1027",,0,0,"yma007",0,"",0,"",0
"char_BIGMAMEMON",,,"chr028","1028",,0,0,"cmc004",0,"",0,"",0
"char_SANGLOUPMON",,,"chr030","1030",,0,0,"ymb008",0,"",0,"",0
"char_MATADRMON",,,"chr031","1031",,0,0,"ymb001",0,"",0,"",0
"char_GRANDDRACUMON",,,"chr032","1032",,0,0,"mmb003",0,"",0,"",0
"char_TRICERAMON",,,"chr033","1033",,0,0,"yma008",0,"",0,"",0
"char_LILITHMON",,,"chr034","1034",,1,0,"yfc001",0,"",0,"",0
"char_BEELZEBUMON",,,"chr035","1035",,0,0,"ymb006",0,"",0,"",0
"char_BARBAMON",,,"chr036","1036",,0,0,"omb001",0,"",0,"",0
"char_BARBAMON_BIG",,,"chr833","1036",,0,0,"omb001",0,"",0,"",0
"char_LEVIAMON",,,"chr037","1037",,0,0,"omc001",0,"",0,"",0
"char_LEVIAMON_BIG",,,"chr843","1037",,0,0,"omc001",0,"",0,"",0
"char_DEMON",,,"chr038","1038",,0,0,"mmd001",0,"",0,"",0
"char_DEMON_BIG",,,"chr834","1038",,0,0,"mmd001",0,"",0,"",0
"char_LUCEMON_FM",,,"chr039","1039",,0,0,"ymb005",0,"",0,"",0
"char_BELPHEMON_RM",,,"chr040","1040",,0,0,"mma003",0,"",0,"",0
