int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,empty 7,int32 8,int32 9,empty 10,int32 11,int32 12,empty 13,int32 14,int32 15,empty 16,int32 17,int32 18,empty 19,int32 20,int32 21,empty 22,int32 23,int32 24,empty 25,int32 26
1,301,,59,0,100,311,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2,301,,60,0,100,321,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
3,301,,61,0,100,331,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
4,301,,62,0,100,341,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
5,301,,63,0,100,351,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
6,302,,64,0,500,301,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
7,302,,65,0,100,312,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
8,302,,66,0,100,322,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
9,302,,67,0,100,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
10,302,,68,0,100,342,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
11,302,,69,0,100,352,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
12,303,,70,0,500,302,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
13,303,,71,0,100,313,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
14,303,,72,0,100,323,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
15,303,,73,0,100,333,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
16,303,,74,0,100,343,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
17,303,,75,0,100,353,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
18,311,,76,0,100,301,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
19,311,,77,0,100,321,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
20,311,,78,0,100,331,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
21,311,,79,0,100,341,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
22,311,,80,0,100,351,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
23,312,,81,0,500,311,,5,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
24,312,,82,0,100,302,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
25,312,,83,0,100,322,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
26,312,,84,0,100,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
