int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,16,13,7,6,9,7,8
3,16,13,7,6,9,7,8
4,16,13,7,6,9,7,8
5,16,13,7,6,9,7,8
6,16,13,7,6,9,7,8
7,16,13,7,6,9,7,8
8,16,13,7,6,9,7,8
9,16,13,7,6,9,7,8
10,16,13,7,6,9,7,8
11,16,13,7,6,9,7,8
12,16,13,7,6,9,7,8
13,16,13,7,6,9,7,8
14,16,13,7,6,9,7,8
15,16,13,7,6,9,7,8
16,16,13,7,6,9,7,8
17,16,13,7,6,9,7,8
18,16,13,7,6,9,7,8
19,16,13,7,6,9,7,8
20,16,13,7,6,9,7,8
21,16,13,7,6,9,7,8
22,16,13,7,6,9,7,8
23,16,13,7,6,9,7,8
24,16,13,7,6,9,7,8
25,16,13,7,6,9,7,8
26,16,13,7,6,9,7,8
27,16,13,7,6,9,7,8
28,16,13,7,6,9,7,8
29,16,13,7,6,9,7,8
30,16,13,7,6,9,7,8
31,16,13,7,6,9,7,8
32,16,13,7,6,9,7,8
33,16,13,7,6,9,7,8
34,16,13,7,6,9,7,8
35,16,13,7,6,9,7,8
36,16,13,7,6,9,7,8
37,16,13,7,6,9,7,8
38,16,13,7,6,9,7,8
39,16,13,7,6,9,7,8
40,16,13,7,6,9,7,8
41,16,13,7,6,9,7,8
42,16,13,7,6,9,7,8
43,16,13,7,6,9,7,8
44,16,13,7,6,9,7,8
45,16,13,7,6,9,7,8
46,16,13,7,6,9,7,8
47,16,13,7,6,9,7,8
48,16,13,7,6,9,7,8
49,16,13,7,6,9,7,8
50,16,13,7,6,9,7,8
51,16,14,8,6,11,7,7
52,16,14,8,6,11,7,7
53,16,14,8,6,11,7,7
54,16,14,8,6,11,7,7
55,16,14,8,6,11,7,7
56,16,14,8,6,11,7,7
57,16,14,8,6,11,7,7
58,16,14,8,6,11,7,7
59,16,14,8,6,11,7,7
60,16,14,8,6,11,7,7
61,16,14,8,6,11,7,7
62,16,14,8,6,11,7,7
63,16,14,8,6,11,7,7
64,16,14,8,6,11,7,7
65,16,14,8,6,11,7,7
66,16,14,8,6,11,7,7
67,16,14,8,6,11,7,7
68,16,14,8,6,11,7,7
69,16,14,8,6,11,7,7
70,16,14,8,6,11,7,7
71,7,6,3,2,4,2,3
72,7,6,3,2,4,2,3
73,7,6,3,2,4,2,3
74,7,6,3,2,4,2,3
75,7,6,3,2,4,2,3
76,7,6,3,2,4,2,3
77,7,6,3,2,4,2,3
78,7,6,3,2,4,2,3
79,7,6,3,2,4,2,3
80,7,6,3,2,4,2,3
81,7,6,3,2,4,2,3
82,7,6,3,2,4,2,3
83,7,6,3,2,4,2,3
84,7,6,3,2,4,2,3
85,7,6,3,2,4,2,3
86,7,6,3,2,4,2,3
87,7,6,3,2,4,2,3
88,7,6,3,2,4,2,3
89,7,6,3,2,4,2,3
90,7,6,3,2,4,2,3
91,7,6,3,2,4,2,3
92,7,6,3,2,4,2,3
93,7,6,3,2,4,2,3
94,7,6,3,2,4,2,3
95,7,6,3,2,4,2,3
96,7,6,3,2,4,2,3
97,7,6,3,2,4,2,3
98,7,6,3,2,4,2,3
99,7,6,3,2,4,2,3
