int32 0,empty 1,string3 2,float 3,float 4,float 5,float 6,float 7,float 8,int32 9,int32 10,int32 11,int32 12,int32 13
20000,,"s01Fobj01",4,1.5,1.5,5,1.5,0,0,1,1,-1,0
20001,,"s01Fobj02",4,1.3,1.3,5,1.5,0,0,2,1,-1,0
20002,,"s01Fobj03",5,0.9,0.9,5,1.5,0,0,3,1,-1,0
20003,,"s01Fobj04",4,2.7,2.7,5,1.5,0,0,4,1,-1,0
20004,,"s01Fobj05",4,1,1,5,1.5,0,0,5,1,-1,0
20005,,"s01Fobj06",4,1.5,1.5,5,1.5,0,0,6,1,-1,0
20006,,"s01Fobj07",5,1.3,1.2,5,1.5,0,0,7,1,-1,0
20007,,"s01Fobj08",4,2.7,2.7,5,1.5,0,0,8,1,-1,0
20008,,"s01Fobj09",5,1.5,1.5,5,1.5,0,0,9,1,-1,0
20009,,"s01Fobj10",3,4.2,2.2,5,1.5,0,0,10,1,-1,0
20010,,"s01Fobj11",10,10,10,10,-0.5,0.175,1,1,1,8,1
20011,,"s01Fobj12",10,10,10,10,-0.5,0.165,1,2,1,4,1
20012,,"s01Fobj13",10,10,10,10,-0.5,0.135,1,3,1,7,1
20013,,"s01Fobj14",10,10,10,10,1.5,0,0,5,1,6,1
20014,,"s01Fobj15",10,10,10,10,1.5,0,0,9,1,10,1
20015,,"s01Fobj16",10,10,10,10,1.5,0,0,5,1,6,1
20016,,"s01Fobj17",10,10,10,10,1.5,0,0,9,1,10,1
20017,,"s01Fobj18",10,10,10,10,1.5,0,0,5,1,6,1
20018,,"s01Fobj19",10,10,10,10,1.5,0,0,9,1,10,1
20019,,"s01Fobj20",10,10,10,10,1.5,0,0,5,1,6,1
20020,,"s01Fobj21",10,10,10,10,1.5,0,0,9,1,10,1
20021,,"s01Fobj22",10,10,10,10,1.5,0,0,5,1,6,1
20022,,"s01Fobj23",10,10,10,10,1.5,0,0,9,1,10,1
20023,,"s01Sobj01",10,10,10,10,1.5,0,0,5,1,6,1
20024,,"s01Sobj02",10,10,10,10,1.5,0,0,9,1,10,1
20100,,"s01Fobj100",10,10,10,10,1.5,0,0,5,1,6,1
20101,,"s01Fobj101",10,10,10,10,1.5,0,0,9,1,10,1
20102,,"s01Fobj102",10,10,10,10,1.5,0,0,5,1,6,1
20103,,"s01Fobj103",10,10,10,10,1.5,0,0,9,1,10,1
20104,,"s01Fobj104",10,10,10,10,1.5,0,0,5,1,6,1
20105,,"s01Fobj105",10,10,10,10,1.5,0,0,9,1,10,1
20106,,"s01Fobj106",10,10,10,10,1.5,0,0,5,1,6,1
20107,,"s01Fobj107",10,10,10,10,1.5,0,0,9,1,10,1
20108,,"s01Fobj108",10,10,10,10,1.5,0,0,5,1,6,1
20109,,"s01Fobj109",10,10,10,10,1.5,0,0,9,1,10,1
20110,,"s01Fobj110",10,10,10,10,1.5,0,0,5,1,6,1
20111,,"s01Fobj111",10,10,10,10,1.5,0,0,9,1,10,1
20112,,"s01Fobj112",10,10,10,10,1.5,0,0,5,1,6,1
20113,,"s01Fobj113",10,10,10,10,1.5,0,0,9,1,10,1
20114,,"s01Fobj114",10,10,10,10,1.5,0,0,5,1,6,1
20115,,"s01Fobj115",10,10,10,10,1.5,0,0,9,1,10,1
20116,,"s01Fobj116",10,10,10,10,1.5,0,0,5,1,6,1
20200,,"s01Fobj200",10,10,10,10,1.5,0,0,9,1,10,1
20300,,"s01Fobj300",10,10,10,10,1.5,0,0,5,1,6,1
20301,,"s01Fobj301",10,10,10,10,1.5,0,0,9,1,10,1
20500,,"s01Fobj500",10,10,10,10,1.5,0,0,5,1,6,1
20501,,"s01Fobj501",10,10,10,10,1.5,0,0,9,1,10,1
