int32 0,empty 1,empty 2,int32 3,int32 4,int8 5,int8 6,int8 7,int8 8,int8 9,int8 10,int8 11,int8 12,int8 13,int8 14,int8 15,int8 16,int32 17,int32 18,float 19,float 20,float 21,int32 22
101,,,30101,30151,0,1,0,1,0,1,0,1,0,0,0,0,0,0,5,1,1,-1
102,,,30102,30152,0,3,0,3,0,3,0,3,0,0,0,0,0,0,10,1,1,-1
103,,,30103,30153,0,9,0,9,0,9,0,9,0,0,0,0,0,0,10,1,1,-1
201,,,30201,30251,0,0,1,0,1,0,1,0,1,0,0,0,1,0,5,1,1,-1
202,,,30202,30252,0,0,3,0,3,0,3,0,3,0,0,0,1,0,10,1,1,-1
203,,,30203,30253,0,0,9,0,9,0,9,0,9,0,0,0,1,0,15,1,1,-1
301,,,30301,30351,0,3,0,0,0,0,0,0,0,0,0,0,6,1,5,1,1,-1
302,,,30302,30352,0,8,0,0,0,0,0,0,0,0,0,0,6,1,10,1,1,-1
303,,,30303,30353,0,15,0,0,0,0,0,0,0,0,0,0,6,1,10,1,1,-1
401,,,30401,30451,0,0,3,0,0,0,0,0,0,0,0,0,6,2,5,1,1,-1
402,,,30402,30452,0,0,8,0,0,0,0,0,0,0,0,0,6,2,10,1,1,-1
403,,,30403,30453,0,0,15,0,0,0,0,0,0,0,0,0,6,2,15,1,1,-1
501,,,30501,30551,0,0,0,3,0,0,0,0,0,0,0,0,6,3,5,1,1,-1
502,,,30502,30552,0,0,0,8,0,0,0,0,0,0,0,0,6,3,10,1,1,-1
503,,,30503,30553,0,0,0,15,0,0,0,0,0,0,0,0,6,3,10,1,1,-1
601,,,30601,30651,0,0,0,0,3,0,0,0,0,0,0,0,6,4,5,1,1,-1
602,,,30602,30652,0,0,0,0,8,0,0,0,0,0,0,0,6,4,10,1,1,-1
603,,,30603,30653,0,0,0,0,15,0,0,0,0,0,0,0,6,4,15,1,1,-1
701,,,30701,30751,0,0,0,0,0,3,0,0,0,0,0,0,6,5,5,1,1,-1
702,,,30702,30752,0,0,0,0,0,8,0,0,0,0,0,0,6,5,10,1,1,-1
703,,,30703,30753,0,0,0,0,0,15,0,0,0,0,0,0,6,5,10,1,1,-1
801,,,30801,30851,0,0,0,0,0,0,3,0,0,0,0,0,6,6,5,1,1,-1
802,,,30802,30852,0,0,0,0,0,0,8,0,0,0,0,0,6,6,10,1,1,-1
803,,,30803,30853,0,0,0,0,0,0,15,0,0,0,0,0,6,6,15,1,1,-1
901,,,30901,30951,0,0,0,0,0,0,0,3,0,0,0,0,6,7,5,1,1,-1
902,,,30902,30952,0,0,0,0,0,0,0,8,0,0,0,0,6,7,10,1,1,-1
903,,,30903,30953,0,0,0,0,0,0,0,15,0,0,0,0,6,7,10,1,1,-1
1001,,,31001,31051,0,0,0,0,0,0,0,0,3,0,0,0,6,8,5,1,1,-1
1002,,,31002,31052,0,0,0,0,0,0,0,0,8,0,0,0,6,8,10,1,1,-1
1003,,,31003,31053,0,0,0,0,0,0,0,0,15,0,0,0,6,8,15,1,1,-1
1101,,,31101,31151,0,0,0,0,0,0,0,0,0,3,0,0,6,9,5,1,1,-1
1102,,,31102,31152,0,0,0,0,0,0,0,0,0,8,0,0,6,9,10,1,1,-1
1103,,,31103,31153,0,0,0,0,0,0,0,0,0,15,0,0,6,9,10,1,1,-1
1201,,,31201,31251,0,0,0,0,0,0,0,0,0,0,3,0,6,10,5,1,1,-1
1202,,,31202,31252,0,0,0,0,0,0,0,0,0,0,8,0,6,10,10,1,1,-1
1203,,,31203,31253,0,0,0,0,0,0,0,0,0,0,15,0,6,10,15,1,1,-1
1301,,,31301,31351,0,0,0,0,0,0,0,0,0,5,5,0,4,-1,100,1,1,-1
