int32 0,empty 1,int16 2,int16 3,int32 4,int32 5,int16 6,int16 7,int32 8,int16 9,int16 10
203,,1,1,0,0,5,100,-1,0,100
204,,2,1,0,0,10,100,-1,0,100
205,,0,1,2,0,10,50,0,-5,100
206,,0,1,0,9,30,100,0,30,100
207,,0,1,0,1,1000,100,-1,0,100
208,,0,1,0,2,30,100,-1,0,100
209,,0,1,0,3,30,100,-1,0,100
210,,0,1,0,4,30,100,-1,0,100
211,,0,1,0,5,30,100,-1,0,100
212,,0,1,0,6,30,100,-1,0,100
213,,0,1,0,7,30,100,-1,0,100
214,,0,1,0,8,1,100,-1,0,100
215,,0,0,1,1,100,50,0,-3,100
216,,0,0,1,2,50,50,0,-3,100
217,,0,0,1,3,30,50,0,-3,100
218,,0,0,1,4,30,50,0,-3,100
219,,0,0,1,5,30,50,0,-3,100
220,,0,0,1,6,30,50,0,-3,100
221,,0,0,1,7,30,50,0,-3,100
