string2 0,int 1,int 2,int 3,empty 4,empty 5,empty 6,string 7
"DIGITTER_FLAG_MAIN_01_010",1000,10,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_020",1005,10,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_080",1010,80,0,"","","",""
"DIGITTER_FLAG_MAIN_01_120",1220,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_180",1275,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_190",1280,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_200",1290,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_220",1310,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_01_230",1320,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_02_030",1323,110,0,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_02_080",1327,110,0,"","","",""
"DIGITTER_FLAG_FIELD_14_020",1330,20,5,"","","",""
"DIGITTER_FLAG_FIELD_14_040",1335,20,80,"","","",""
"DIGITTER_FLAG_MAIN_03_350",1337,100,50,"","","","ブラックテイルモン狭間に入った時"
"DIGITTER_FLAG_MAIN_03_351",1337,100,50,"","","","ブラックテイルモン発見後デジッター"
"DIGITTER_FLAG_MAIN_03_353",1338,110,30,"","","","新宿駅到着後デジッター"
"DIGITTER_FLAG_MAIN_02_140",1339,140,50,"","","","落雷注意デジッター"
"DIGITTER_FLAG_MAIN_03_496",1340,120,4,"","","","連続受信用"
"DIGITTER_FLAG_MAIN_03_648",1350,140,2,"","","","連続受信用"
"DIGITTER_FLAG_FIELD_03_160",1360,170,8,"","","",""
"DIGITTER_FLAG_FIELD_0609_190_1",1370,190,10,"","","",""
"DIGITTER_FLAG_FIELD_0609_190_2",1380,190,10,"","","",""
"DIGITTER_FLAG_FIELD_0609_190_3",1390,190,10,"","","",""
"DIGITTER_FLAG_FIELD_0609_190_4",1400,190,10,"","","",""
"DIGITTER_FLAG_FIELD_0609_190_5",1410,190,10,"","","",""
"DIGITTER_FLAG_MAIN_070_090_010",1411,70,90,"","","",""
"DIGITTER_FLAG_MAIN_050_020_010",1415,-1,0,"","","",""
"DIGITTER_FLAG_MAIN_050_030_010",1418,50,40,"","","",""
"DIGITTER_FLAG_MAIN_200_030_010",1420,-1,0,"","","","200　公安に接触後"
"DIGITTER_FLAG_MAIN_210_010_010",1430,-1,0,"","","","210 シモンズに接触後"
"DIGITTER_FLAG_MAIN_210_010_020",1440,-1,0,"","","","210 コマ劇前通過時"
"DIGITTER_FLAG_MAIN_210_020_010",1450,-1,0,"","","","210 バッテリーを届けた後"
"DIGITTER_FLAG_MAIN_210_020_020",1460,-1,0,"","","","210 地下水路入った"
"DIGITTER_FLAG_MAIN_210_020_030",1470,-1,0,"","","","210 シャッター調べた"
