int32 0,empty 1,string2 2,string2 3,string2 4,bool 5,bool 6,bool 7,bool 8,bool 9,int32 10,int32 11,int32 12,int32 13,string2 14,string2 15,string2 16,string2 17,string2 18
1,,"DSTS0MISEPISODE1","9NW069WKXKHC","3524260",true,false,true,true,true,0,0,0,0,"FLAG_DLC_DLC001_IS_INDICATIONS","FLAG_DLC_PATCH001_IS_INDICATIONS","","",""
2,,"DSTS0MISEPISODE2","9NR7ZZ59CWC2","3524270",true,false,true,false,true,0,0,0,0,"FLAG_DLC_DLC002_IS_INDICATIONS","FLAG_DLC_PATCH001_IS_INDICATIONS","FLAG_DLC_PATCH002_IS_INDICATIONS","",""
3,,"DSTS0MISEPISODE3","9PFPJVRJPHJG","3524290",true,false,true,true,true,0,0,0,0,"FLAG_DLC_DLC003_IS_INDICATIONS","FLAG_DLC_PATCH001_IS_INDICATIONS","FLAG_DLC_PATCH002_IS_INDICATIONS","FLAG_DLC_PATCH003_IS_INDICATIONS",""
5,,"DSTS0ITMGOLDMOAI","9NLZGK7VZFJH","3524250",false,false,false,false,false,0,0,0,0,"","","","",""
6,,"DSTS0CHASPAGUGAB","9MWNPGTZ0B78","3524310",false,false,false,false,false,0,0,0,0,"FLAG_DLC06_IS_INDICATIONS","","","",""
7,,"DSTS0COSPUBSAFE0","9MWRSVVBR08L","3524350",false,false,false,false,false,806,0,0,0,"","","","",""
8,,"DSTS0BGMCYSLEUTH","9PPJKMRMXQ3B","3524360",false,true,false,false,false,0,0,0,0,"","","","",""
9,,"DSTS0BGMANISONG0","9PN2RJGJW34Q","3524370",false,true,false,false,false,0,0,0,0,"","","","",""
10,,"DSTS0MAPDUNGEONS","9NM69DJZKHW4","3524380",false,false,false,false,false,0,0,0,0,"","","","",""
12,,"DSTS0COSCYSLEUTH","9N46WJPKXC4B","3524300",false,false,false,false,false,824,0,0,0,"","","","",""
13,,"DSTS0COSSWIMWEAR","9NVDFRCJSSTZ","3524320",false,false,false,false,false,826,0,0,0,"","","","",""
14,,"DSTS0COSCHILDREN","9N92412W0VC6","3524330",false,false,false,false,false,825,0,0,0,"","","","",""
15,,"DSTS0COSDIGIMON0","9NXP9QJ6KW84","3524340",false,false,false,false,false,827,0,0,0,"","","","",""
17,,"DSTS0ITMPOBONUS0","9PL6FGK5WHKT","3524240",true,false,false,false,false,805,0,0,0,"FLAG_DLC17_IS_INDICATIONS","","","",""
21,,"DSTS0ITMTRAINSET","9NGFTGP9BMVZ","",false,false,false,false,false,0,0,0,0,"","","","",""
