int32 0,string3 1,string3 2,string3 3,int32 4,string3 5,string3 6,float 7,string3 8,string3 9,string3 10,string3 11,string3 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,bool 23,int32 24,int32 25,int32 26
101,"t0101","t0101p","minimap_t0101",0,"t0101_rail_move","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
102,"t0102","t0102p","minimap_t0102",0,"t0102_rail_move","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
103,"t0103","t0103p","minimap_t0103",0,"t0103_rail_move","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
104,"t0104","t0104p","minimap_t0104",1,"t0104_rail_move","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
105,"t0105","t0105p","minimap_t0105",2,"t0105_rail_move","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
106,"t0106","t0106p","minimap_t0106",0,"","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
107,"t0107","t0107p","minimap_t0107",0,"","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
108,"t0108","t0108p","minimap_t0108",0,"","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
153,"t0153","t0153p","minimap_t0153",0,"","",3,"t01","t01npc","t01gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
201,"t0201","t0201p","minimap_t0201",0,"t0201_rail_move","",3,"t02","t02npc","t02gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
202,"t0202","t0202p","minimap_t0202",1,"","",3,"t02","t02npc","t02gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
203,"t0203","t0203p","minimap_t0203",0,"","",3,"t02","t02npc","t02gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
301,"t0301","t0301p","minimap_t0301",0,"","",3,"t03","t03npc","t03gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
302,"t0302","t0302p","minimap_t0302",0,"","",3,"t03","t03npc","t03gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
303,"t0303","t0303p","minimap_t0303",0,"","",3,"t03","t03npc","t03gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
401,"t0401","t0401p","minimap_t0401",0,"","",3,"t04","t04npc","t04gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
402,"t0402","t0402p","minimap_t0402",0,"","",3,"t04","t04npc","t04gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
403,"t0403","t0403p","minimap_t0403",0,"","",3,"t04","t04npc","t04gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
404,"t0404","t0404p","minimap_t0404",0,"","",3,"t04","t04npc","t04gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,2,0,0
3001,"t3001","t3001p","minimap_t3001",0,"","",3,"t30","t30npc","t30gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
