int32 0,string3 1,bool 2,string3 3,string3 4
101001,"npc_0001",false,"npc101aa010301","fn01"
101002,"npc_0002",false,"npc102aa010101","fn01"
101003,"npc_0003",false,"npc102ab020102","fn07"
101004,"npc_0004",false,"npc101aa010203","fn01"
101005,"signal_0001",false,"t0201traffic01a",""
102001,"npc_0001",false,"npc101ba010101","fn01"
102002,"npc_0002",false,"npc101bc010202","e008"
102003,"npc_0003",false,"npc102aa010102","fn01"
102004,"npc_0004",false,"npc101aa010101","e008"
103001,"npc_0001",false,"npc101aa010101","fn01"
103002,"npc_0002",false,"npc101bc010303","e003"
103003,"npc_0003",false,"npc101bc010102","fn01"
103004,"npc_0004",false,"npc101bc010202","e003"
103005,"npc_0005",false,"npc101bb010101","fn01"
103201,"obj_0001",false,"ef_e_prepro_02_fbox",""
105001,"gim_0001",false,"t0105fencedoor00",""
201001,"npc_0001",false,"chr096","bn01"
201002,"signal_0001",false,"t0201traffic01a",""
401099,"theater_0001",true,"ef_f_mov_100_ga",""
3001001,"door_0001",false,"dummy_icon_obj",""
3001002,"door_0002",false,"dummy_icon_obj",""
10102001,"npc_0001",false,"chr009","fn98"
10102002,"npc_0002",false,"chr728","br01"
10102003,"obj_0001",false,"d01floor00",""
10102004,"obj_0002",false,"d01floor01",""
10102005,"obj_0003",false,"d01floor02",""
10102006,"obj_0004",false,"chr308","bn01"
10106001,"npc_0001",false,"chr173","e100"
10197001,"npc_0003",false,"chr308","bn01"
10197002,"ride01",false,"dummy_icon_obj",""
10197003,"wall01",false,"ef_f_com_100_fw",""
10197004,"wall02",true,"ef_f_com_140_iw",""
10197005,"tbox01",false,"dummy_d0000box00",""
10197006,"pop01",false,"dummy_d01pop01",""
10197007,"pop02",false,"dummy_d01pop01",""
10197008,"pop03",false,"dummy_d01pop01",""
10197009,"npc_0001",false,"chr009","fn98"
10197010,"gim01",false,"ef_f_com_160_cl",""
10197011,"npc_0002",false,"chr012","bn01"
10197012,"enemy_0001",false,"chr085","bn01"
10197013,"obj_0001",false,"dummy_chr463","wait01"
10197014,"gim02",false,"dummy_icon_obj",""
10197015,"pop51",false,"ef_f_com_160_cl",""
10197016,"pop52",false,"ef_f_com_160_cl",""
10197017,"pop53",false,"ef_f_com_160_cl",""
10197018,"gim03",false,"dummy_icon_obj",""
10197019,"dummy_wall02",false,"dummy_icon_obj",""
10197020,"obj_0002",false,"dummy_d0000floor01",""
10197021,"ride02",false,"dummy_icon_obj",""
10197022,"icon01",false,"EFF_FLD_EMOTION_EXCL",""
10197023,"npc_0004",false,"chr308","bn01"
10197024,"tbox02",false,"dummy_d0000box00",""
10198001,"wall01",false,"ef_f_com_100_fw",""
10198002,"ride01",false,"chr308","bn01"
10198003,"ride02",false,"dummy_icon_obj",""
10198004,"floor01",false,"dummy_d0000floor00",""
10198005,"gim01",false,"dummy_icon_obj",""
10198051,"npc_0001",false,"chr009","fn98"
10198061,"enemy_0001",false,"chr728","bn01"
10198062,"enemy_0002",false,"chr103","bn01"
10198063,"enemy_0003",false,"chr363","bn01"
10198201,"pop01",true,"ef_f_com_110_it",""
10198202,"pop02",true,"ef_f_com_110_it",""
10198203,"pop03",true,"ef_f_com_110_it",""
10198204,"pop04",true,"ef_f_com_110_it",""
10198205,"pop05",true,"ef_f_com_110_it",""
10198301,"tbox01",false,"dummy_d0000box00",""
10199001,"ride01",false,"dummy_icon_obj",""
10199002,"ride02",false,"dummy_icon_obj",""
10201001,"npc_0001",false,"chr136","bn01"
10201002,"npc_0002",false,"chr235","fe01"
10201003,"gim01",false,"dummy_icon_obj",""
10201004,"obj_0001",false,"dummy_chr463","wait01"
10201005,"npc_0003",false,"chr096","bn01"
10201006,"npc_0005",false,"chr325","bn01"
10201099,"theater_0001",true,"ef_f_mov_100_ga",""
10201300,"npc_0004",false,"chr226","bn01"
10301001,"door_0001",false,"d0305gate00",""
10301002,"gim_0001",false,"dummy_icon_obj",""
10301003,"change_0001",false,"dummy_icon_obj",""
10301099,"theater_0001",true,"ef_f_mov_100_ga",""
10301201,"pop_0001",false,"d03pop00",""
10301202,"pop_0002",false,"d03pop00",""
10301203,"pop_0003",false,"d03pop00",""
10301204,"tbox_0001",true,"ef_f_com_110_it",""
10301205,"tbox_0002",true,"ef_f_com_110_it",""
10301206,"tbox_0003",true,"ef_f_com_110_it",""
10301207,"tbox_0004",true,"ef_f_com_110_it",""
10301301,"npc_0001",false,"chr021","bn01"
10301302,"npc_0002",false,"chr145","bn01"
10302001,"map_0001",false,"dummy_icon_obj",""
10302002,"gim_0001",false,"d03pop02",""
10302003,"gim_0002",false,"dummy_icon_obj",""
10302004,"obj_0001",false,"obj_chr465","fn01"
10302005,"obj_0002",false,"d03ladder00",""
10302099,"theater_0001",true,"ef_f_mov_100_ga",""
10302201,"pop_0001",false,"d03pop00",""
10302202,"pop_0002",false,"d03pop00",""
10302203,"tbox_0001",true,"ef_f_com_110_it",""
10302204,"tbox_0002",true,"ef_f_com_110_it",""
10303099,"theater_0001",true,"ef_f_mov_100_ga",""
10303201,"pop_0001",false,"d03pop01",""
10304001,"door_0001",false,"d0305gate00",""
10304101,"break_0001",false,"d03breakrock00",""
10304201,"pop_0001",false,"d03pop01",""
10304202,"tbox_0001",true,"ef_f_com_110_it",""
10304203,"tbox_0002",true,"ef_f_com_110_it",""
10304204,"tbox_0003",true,"ef_f_com_110_it",""
10305001,"door_0001",false,"d0305gate00",""
10305002,"door_0002",false,"d0305gate01",""
10305003,"door_0003",false,"d0305gate02",""
10305004,"door_0004",false,"d0305gate02",""
