int32 0,float 1,float 2,float 3,float 4,int32 5,int32 6,float 7,int32 8,string3 9,bool 10
101001,2,160,1,1,1,0,0,2,"e002",false
101002,2,160,1,1,2,0,0,2,"test01",false
101003,2,160,1,1,3,0,0,2,"e002",false
101004,2,160,1,1,4,0,0,2,"e002",false
102001,2,160,1,1,1,0,0,0,"e008",false
102002,2,160,1,1,2,0,0,2,"",false
102003,2,160,1,1,3,0,0,2,"e002",false
102004,2,160,1,1,4,0,0,2,"e002",false
103001,2,160,1,1,1,0,0,0,"e002",false
103002,2,160,1,1,1,0,0,0,"e002",false
103003,2,160,1,1,2,0,0,2,"e002",false
103004,2,160,1,1,3,0,0,2,"e009",false
103005,2,160,1,1,4,0,0,2,"e002",false
201001,4,160,1,1,1,0,0,2,"",false
10197001,4,160,1,1,3,0,0,2,"",false
10197009,4,160,1,1,1,0,0,0,"",false
10197011,4,160,1,1,2,0,0,2,"",false
10197012,4,160,1,1,2,0,0,2,"",false
10197023,0,160,1,1,0,-1,0,0,"",true
10201001,4,160,1,1,1,0,0,2,"e002",false
10201002,4,160,1,1,2,0,0,0,"",false
10201005,4,160,1,1,3,0,0,0,"ba02",false
10201300,4,160,1,1,4,0,0,2,"",false
10301301,4,160,1,1,1,0,0,0,"",false
10301302,4,160,1,1,2,0,0,0,"",false
10306301,4,160,1,1,1,0,0,0,"",false
10401301,4,160,1,1,1,0,0,0,"",false
10506300,4,160,1,1,1,0,0,2,"",false
10506301,4,160,1,1,2,0,0,0,"",false
10506302,4,160,1,1,2,0,0,0,"",false
10506303,4,160,1,1,3,0,0,0,"",false
10506304,4,160,1,1,4,0,0,0,"",false
11403301,2,160,1,1,1,0,0,0,"",false
