int32 0,float 1,float 2,float 3,float 4,float 5,int32 6,int32 7,float 8,int32 9,string3 10,float 11
103201,0,360,360,1,1,0,-1,0,-1,"",0
105001,2,90,360,1,1,1,1,1,-1,"",0
201002,0,360,360,1,1,0,-1,0,-1,"",0
401099,3,360,360,1,1,99,1,1,-1,"",0
3001001,3,360,360,1,1,1,1,1,-1,"",0
3001002,3,360,360,1,1,2,1,1,-1,"",0
10102001,0,0,360,1,1,1,0,0,-1,"",0
10102002,5,160,360,1,1,1,0,0,-1,"",0
10102003,5,360,360,1,1,2,1,2,-1,"",0
10102004,0,360,360,1,1,0,-1,0,-1,"",0
10102005,0,360,360,1,1,0,-1,0,-1,"",0
10102006,5,360,360,1,1,3,1,0,-1,"",0
10102001,0,0,360,1,1,1,0,0,-1,"",0
10102002,5,160,360,1,1,1,0,0,-1,"",0
10102003,5,360,360,1,1,2,1,2,-1,"",0
10106001,2,160,360,1,1,2,0,0,-1,"",0
10197002,5,360,360,1,1,2,1,0,-1,"",0
10197003,15,360,360,1,1,3,1,2,0,"",1
10197004,0,360,360,1,1,4,-1,2,-1,"",0
10197005,3,360,360,1,1,5,1,1.5,-1,"",0
10197006,3,360,360,1,1,6,1,1,-1,"",0
10197007,3,360,360,1,1,7,1,1,-1,"",0
10197008,3,360,360,1,1,8,1,1,-1,"",0
10197010,5,360,360,1,1,10,1,1,-1,"",0
10197013,0,360,360,1,1,13,-1,0,-1,"",0
10197014,3,360,360,1,1,14,1,0.5,-1,"",0
10197015,0,360,360,1,1,15,-1,0,-1,"",0
10197016,0,360,360,1,1,16,-1,0,-1,"",0
10197017,0,360,360,1,1,17,-1,0,-1,"",0
10197018,5,360,360,1,1,18,1,0.5,-1,"",0
10197019,15,360,360,1,1,19,1,2,0,"",2
10197020,0,360,360,1,1,20,-1,0,-1,"",0
10197021,4,360,360,1,1,21,1,0,-1,"",0
10197022,0,360,360,1,1,22,-1,0,-1,"",0
10197024,3,360,360,1,1,24,1,1.5,-1,"",0
10198001,5,360,360,1,1,1,1,2,-1,"",0
10198002,5,360,360,1,1,2,0,0,-1,"",0
10198003,5,360,360,1,1,3,1,0,-1,"",0
10198004,0,360,360,1,1,0,-1,0,-1,"",0
10198005,5,360,360,1,1,5,1,1.5,-1,"",0
10198051,3,160,360,1,1,51,0,0,-1,"",0
10198061,0,360,360,1,1,0,-1,0,-1,"",0
10198062,0,360,360,1,1,0,-1,0,-1,"",0
10198063,0,360,360,1,1,0,-1,0,-1,"",0
10198201,3,360,360,1,1,201,1,0.5,-1,"",0
10198202,3,360,360,1,1,202,1,0.5,-1,"",0
10198203,3,360,360,1,1,203,1,0.5,-1,"",0
10198204,3,360,360,1,1,204,1,0.5,-1,"",0
10198205,3,360,360,1,1,205,1,0.5,-1,"",0
10198301,3,360,360,1,1,301,1,1.5,-1,"",0
10199001,5,360,360,1,1,1,1,0.5,-1,"",0
10199002,5,360,360,1,1,2,1,0,-1,"",0
10201003,3,360,360,1,1,3,1,1.5,-1,"",0
10201004,0,360,360,1,1,0,-1,0,-1,"",0
10201006,5,360,360,1,1,6,0,0,-1,"",0
10201099,3,360,360,1,1,99,1,1,-1,"",0
10301001,3,360,360,1,1,1,1,0.5,-1,"",0
10301002,8,360,360,1,1,2,1,0,0,"",1
10301003,3,360,360,1,1,3,1,0.5,-1,"",0
10301099,3,360,360,1,1,99,1,1,-1,"",0
10301201,3,360,360,1,1,201,1,0.5,-1,"",0
10301202,3,360,360,1,1,202,1,0.5,-1,"",0
10301203,3,360,360,1,1,203,1,0.5,-1,"",0
10301204,3,360,360,1,1,204,1,0.5,-1,"",0
10301205,3,360,360,1,1,205,1,0.5,-1,"",0
10301206,3,360,360,1,1,206,1,0.5,-1,"",0
10301207,3,360,360,1,1,207,1,0.5,-1,"",0
10302001,3,360,360,1,1,1,1,0,-1,"",0
10302002,8,360,360,1,1,2,1,0,0,"",1
10302003,3,360,360,1,1,3,1,1,-1,"",0
10302004,3,360,360,1,1,4,-1,0,-1,"",0
10302005,3,360,360,1,1,5,-1,0,-1,"",0
10302099,3,360,360,1,1,99,1,1,-1,"",0
10302201,3,360,360,1,1,201,1,0.5,-1,"",0
10302202,3,360,360,1,1,202,1,0.5,-1,"",0
