int32 0,int32 1,int32 2,float 3,string3 4,float 5,int32 6,int32 7,int32 8
10197003,3,1,2,"",1,0,-1,0
10197019,19,1,2,"",2,0,-1,0
10302002,2,1,0,"",1,0,-1,0
10304101,101,1,0,"",1,0,-1,0
10305007,7,1,0,"",1,0,-1,0
10305101,101,1,0,"",1,0,-1,0
10305102,102,1,0,"",1,0,-1,0
10307001,1,1,0,"",1,0,-1,0
10307002,2,1,0,"",1,0,-1,0
10307003,3,1,0,"",1,0,-1,0
10307004,4,1,0,"",1,0,-1,0
10401001,1,1,0,"",1,0,-1,0
10402101,101,1,0,"",1,0,-1,0
10403101,101,1,0,"",1,0,-1,0
10403102,102,1,0,"",1,0,-1,0
10403103,103,1,0,"",1,0,-1,0
10403104,104,1,0,"",1,0,-1,0
10404001,1,1,0,"",1,0,-1,0
10406001,1,1,0,"",1,0,-1,0
10406003,3,1,0,"",1,0,-1,0
10406101,101,1,0,"",1,0,-1,0
10406102,102,1,0,"",1,0,-1,0
10406103,103,1,0,"",1,0,-1,0
10407101,101,1,0,"",1,0,-1,0
10407102,102,1,0,"",1,0,-1,0
10407103,103,1,0,"",1,0,-1,0
10501100,100,1,0,"",1,0,-1,0
10501101,101,1,0,"",1,0,-1,0
10501102,102,1,0,"",1,0,-1,0
10502100,100,1,0,"",1,0,-1,0
10502101,101,1,0,"",1,0,-1,0
10502102,102,1,0,"",1,0,-1,0
10502103,103,1,0,"",1,0,-1,0
10503100,100,1,0,"",1,0,-1,0
10503101,101,1,0,"",1,0,-1,0
10503102,102,1,0,"",1,0,-1,0
10504100,100,1,0,"",1,0,-1,0
10504101,101,1,0,"",1,0,-1,0
10504102,102,1,0,"",1,0,-1,0
10509100,100,1,0,"",1,0,-1,0
10511100,100,1,0,"",1,0,-1,0
10511101,101,1,0,"",1,0,-1,0
10511102,102,1,0,"",1,0,-1,0
10511103,103,1,0,"",1,0,-1,0
10511110,110,1,0,"",1,0,-1,0
10511111,111,1,0,"",1,0,-1,0
10511112,112,1,0,"",1,0,-1,0
10511113,113,1,0,"",1,0,-1,0
11001100,100,1,0,"",1,0,-1,0
11001101,101,1,0,"",1,0,-1,0
11001102,102,1,0,"",1,80,-1,0
11001103,103,1,0,"",1,80,-1,0
11401100,100,1,0,"",1,0,-1,0
11401101,101,1,0,"",1,0,-1,0
11401102,102,1,0,"",1,80,-1,0
11401103,103,1,0,"",1,80,-1,0
11401104,104,1,0,"",1,80,-1,0
11401105,105,1,0,"",1,80,-1,0
11401106,106,1,0,"",1,80,-1,0
11402003,3,1,0,"",1,0,5,0
11402100,100,1,0,"",1,0,-1,0
11402101,101,1,0,"",1,0,-1,0
11402102,102,1,0,"",1,0,-1,0
11402103,103,1,0,"",1,0,-1,0
11402104,104,1,0,"",1,0,-1,0
11402105,105,1,0,"",1,80,-1,0
11402106,106,1,0,"",1,80,-1,0
11402107,107,1,0,"",1,80,-1,0
11403100,100,1,0,"",1,0,-1,0
11403101,101,1,0,"",1,0,-1,0
11403102,102,1,0,"",1,0,-1,0
11403103,103,1,0,"",1,0,-1,0
11403104,104,1,0,"",1,0,-1,0
11403105,105,1,0,"",1,0,-1,0
11403106,106,1,0,"",1,80,-1,0
11404100,100,1,0,"",1,0,-1,0
11404101,101,1,0,"",1,0,-1,0
11405001,1,1,0,"",1,0,-1,0
11405100,100,1,0,"",1,0,-1,0
11405101,101,1,0,"",1,0,-1,0
11405102,102,1,0,"",1,0,-1,0
11405103,103,1,0,"",1,80,-1,0
