int32 0,string3 1,string3 2,string3 3,string3 4,string3 5,string3 6,int32 7,string3 8,float 9,int32 10,float 11,float 12,float 13,float 14,int32 15,float 16
102131,"dummy_d0000elv00","dummy_d0213_move01_forward","dummy_d0213_move01_back","move01","coloff_dummy_d0000elv00","coloff_dummy_d0000elv00",0,"",1.5,0,160,360,1,1,1,1
103081,"d0308elv00","d0308_move01_forward","d0308_move01_back","move01","coloff_d0308elv00","coloff_d0308elv00",0,"",1.5,0,160,360,1,1,1,1
105011,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105012,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105021,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105031,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105041,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105042,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105051,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
105052,"d05elv00","d05_move01_foward","d05_move01_back","move01","coloff_d05elv00","coloff_d05elv00",0,"",1.5,0,160,360,1,1,1,1
