int32 0,empty 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int8 14,int8 15,int8 16,int8 17
1000000,,,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0
1000002,,,100,0,0,2,0,0,0,0,100,0,0,0,0,0,0
1000003,,,100,0,0,3,0,0,0,0,100,0,0,0,0,0,0
1000004,,,100,0,0,4,0,0,0,0,100,0,0,0,0,0,0
1000005,,,100,0,0,5,0,0,0,0,100,0,0,0,0,0,0
1000006,,,100,0,0,6,0,0,0,0,100,0,0,0,0,0,0
1000007,,,100,0,0,7,0,0,0,0,100,0,0,0,0,0,0
1000008,,,100,0,0,8,0,0,0,0,100,0,0,0,0,0,0
1000009,,,100,0,0,9,0,0,0,0,100,0,0,0,0,0,0
1000010,,,100,0,0,10,0,0,0,0,100,0,0,0,0,0,0
1000011,,,100,0,0,11,0,0,0,0,100,0,0,0,0,0,0
1000012,,,100,0,0,12,0,0,0,0,100,0,0,0,0,0,0
1000013,,,100,0,0,13,0,0,0,0,100,0,0,0,0,0,0
1000014,,,100,0,0,14,0,0,0,0,100,0,0,0,0,0,0
1000015,,,100,0,0,15,0,0,0,0,100,0,0,0,0,0,0
1000016,,,100,0,0,16,0,0,0,0,100,0,0,0,0,0,0
1001100,,,100,1,1,0,0,0,0,0,100,0,0,-5,-5,-5,-5
1001200,,,100,1,2,0,0,0,0,0,100,0,0,5,5,5,5
1001300,,,100,1,3,0,0,0,0,0,100,0,0,0,0,0,0
1002101,,,100,2,1,1,0,0,0,0,100,0,0,0,0,0,0
1002102,,,100,2,1,2,0,0,0,0,100,0,0,0,0,0,0
1002103,,,100,2,1,3,0,0,0,0,100,0,0,0,0,0,0
1002104,,,100,2,1,4,0,0,0,0,100,0,0,0,0,0,0
1002105,,,100,2,1,5,0,0,0,0,100,0,0,0,0,0,0
1002106,,,100,2,1,6,0,0,0,0,100,0,0,0,0,0,0
1002107,,,100,2,1,7,0,0,0,0,100,0,0,0,0,0,0
1002108,,,100,2,1,8,0,0,0,0,100,0,0,0,0,0,0
1002109,,,100,2,1,9,0,0,0,0,100,0,0,0,0,0,0
1002110,,,100,2,1,10,0,0,0,0,100,0,0,0,0,0,0
1002111,,,100,2,1,11,0,0,0,0,100,0,0,0,0,0,0
1002112,,,100,2,1,12,0,0,0,0,100,0,0,0,0,0,0
1002113,,,100,2,1,13,0,0,0,0,100,0,0,0,0,0,0
1002114,,,100,2,1,14,0,0,0,0,100,0,0,0,0,0,0
1002115,,,100,2,1,15,0,0,0,0,100,0,0,0,0,0,0
1002116,,,100,2,1,16,0,0,0,0,100,0,0,0,0,0,0
1002201,,,100,2,2,1,0,0,0,0,100,0,0,0,0,0,0
1002202,,,100,2,2,2,0,0,0,0,100,0,0,0,0,0,0
1002203,,,100,2,2,3,0,0,0,0,100,0,0,0,0,0,0
1002204,,,100,2,2,4,0,0,0,0,100,0,0,0,0,0,0
1002205,,,100,2,2,5,0,0,0,0,100,0,0,0,0,0,0
1002206,,,100,2,2,6,0,0,0,0,100,0,0,0,0,0,0
1002207,,,100,2,2,7,0,0,0,0,100,0,0,0,0,0,0
1002208,,,100,2,2,8,0,0,0,0,100,0,0,0,0,0,0
1002209,,,100,2,2,9,0,0,0,0,100,0,0,0,0,0,0
1002210,,,100,2,2,10,0,0,0,0,100,0,0,0,0,0,0
1002211,,,100,2,2,11,0,0,0,0,100,0,0,0,0,0,0
1002212,,,100,2,2,12,0,0,0,0,100,0,0,0,0,0,0
1002213,,,100,2,2,13,0,0,0,0,100,0,0,0,0,0,0
1002214,,,100,2,2,14,0,0,0,0,100,0,0,0,0,0,0
1002215,,,100,2,2,15,0,0,0,0,100,0,0,0,0,0,0
1002216,,,100,2,2,16,0,0,0,0,100,0,0,0,0,0,0
1002301,,,100,2,3,1,0,0,0,0,100,0,0,0,0,0,0
1002302,,,100,2,3,2,0,0,0,0,100,0,0,0,0,0,0
1002303,,,100,2,3,3,0,0,0,0,100,0,0,0,0,0,0
1002304,,,100,2,3,4,0,0,0,0,100,0,0,0,0,0,0
1002305,,,100,2,3,5,0,0,0,0,100,0,0,0,0,0,0
1002306,,,100,2,3,6,0,0,0,0,100,0,0,0,0,0,0
