string2 0,int 1,string2 2,string2 3,string2 4,string2 5,string2 6
"StrongEnemies_operator",0,"analyse_enemy_strong_001","","","",""
"EqualEnemies_operator",0,"analyse_enemy_even_001","","","",""
"InferiorEnemy_operator",0,"analyse_enemy_week_001","","","",""
"DestructibleObjects_operator",0,"analyse_object_destructible","","","",""
"IndestructibleObjects_operator",0,"analyse_object_indestructible","","","",""
"PopPoint_operator",3,"analyse_search_popup","","","",""
"ImportantTreasureChest_operator",2,"analyse_search_important ","","","",""
"TreasureChest_operator",2,"analyse_search_treasure","","","",""
"HazamaBox_operator",2,"analyse_search_hazamabox","","","",""
"ShiningItems_operator",10,"analyse_search_kirakira","","","",""
"NarrowSpace_operator",10,"","","","",""
"NarrowDungeon_operator",10,"","","","",""
"QuestTarget_operator",10,"","","","",""
"QuestDestination_operator",10,"","","","",""
"FieldAttackFailure_operator",10,"analyse_fieldattack_failure","","","",""
"FieldAttackNoTarget_operator",5,"analyse_fieldattack_notarget","","","",""
"SearchDestructibleObjects_operator",4,"analyse_object_search","","","",""
"SearchEnemy_operator",10,"analyse_fieldattack_notarget","","","",""
"FieldAttackImpossible_operator",9,"analyse_fieldattack_impossible","","","",""
"CanRide_operator",0,"digimonride_ok","","","",""
"CanNotRide_operator",0,"digimonride_ng","","","",""
"CanRideNoTarget_operator",0,"digimonride_notarget","","","",""
