int32 0,string3 1,string3 2,string3 3,string3 4,float 5,float 6,float 7,float 8,bool 9,bool 10,bool 11,bool 12
0,"","ef_211007","","",0,0,0,0,true,false,false,false
1,"ef_211014","ef_211013","","",0,0,0,0,false,false,true,false
2,"ef_211016","ef_211015","","",0,0,0,0,false,false,true,false
3,"","ef_211007","","",0,0,0,0,true,false,false,false
4,"","","","",0,0,0,0,false,false,false,false
5,"","","","",0,0,0,0,false,false,false,false
6,"","","","",0,0,0,0,false,false,false,false
7,"","","","",0.02,0,30,15,true,false,false,true
8,"ef_200034","ef_200029","","",0,0,0,0,false,false,true,true
9,"ef_200040","ef_200035","","",0,0,0,0,false,false,true,true
10,"","ef_200020","","",0,0,0,0,false,false,true,true
11,"","","","",0,0,0,0,false,false,false,false
