string2 0,string2 1,string2 2,string2 3,float 4,float 5,float 6,float 7,int 8
"chr009_bd03_chr009_damaged","chr009","bd03","chr009_damaged",0,0,-1,1,0
"chr052_bd03_chr052_damaged","chr052","bd03","chr052_damaged",0,0,-1,1,0
"chr052_bn02_chr052_damaged_2","chr052","bn02","chr052_damaged_2",0,0,-1,1,0
"chr341_bd03_chr341_damaged","chr341","bd03","chr341_damaged",0,0,-1,1,0
"chr609_bd03_chr609_damaged","chr609","bd03","chr609_damaged",0,0,-1,1,0
"chr379_bn01_chr379_stop","chr379","bn01","chr379_stop",15,15,-1,1,0
"chr398_bd03_chr398_damaged","chr398","bd03","chr398_damaged",0,0,-1,1,0
"chr595_bd03_chr595_damaged","chr595","bd03","chr595_damaged",0,0,-1,1,0
"chr615_bd03_chr615_damaged","chr615","bd03","chr615_damaged",0,0,-1,1,0
"chr621_bd03_chr621_damaged","chr621","bd03","chr621_damaged",0,0,-1,1,0
"chr728_bd03_chr728_damaged","chr728","bd03","chr728_damaged",0,0,-1,1,0
"chr240_bv01_chr240_damaged","chr240","bv01","chr240_damaged",33,33,-1,1,0
"chr399_bd03_chr399_damaged","chr399","bd03","chr399_damaged",0,0,-1,1,0
"chr103_bd03_chr103_damaged","chr103","bd03","chr103_damaged",0,0,-1,1,0
"chr582_bd03_chr582_damaged","chr582","bd03","chr582_damaged",0,0,-1,1,0
"chr052_bd02_chr052_damaged_01","chr052","bd02","chr052_damaged_01",40,40,-1,1,0
"chr393_bn01_stop","chr393","bn01","stop",15,15,-1,1,0
"d11door00_e001_open","d11door00","e001","open",25,25,-1,1,0
"chr710_bd03_chr710_damaged","chr710","bd03","chr710_damaged",0,0,-1,1,0
"chr679_bd03_chr679_damaged","chr679","bd03","chr679_damaged",0,0,-1,1,0
"chr681_bd03_chr681_damaged","chr681","bd03","chr681_damaged",0,0,-1,1,0
"chr369_bd03_chr369_damaged","chr369","bd03","chr369_damaged",0,0,-1,1,0
"chr061_bd03_chr061_damaged","chr061","bd03","chr061_damaged",0,0,-1,1,0
"chr676_bd03_chr676_damaged","chr676","bd03","chr676_damaged",0,0,-1,1,0
"chr680_bd03_chr680_damaged","chr680","bd03","chr680_damaged",0,0,-1,1,0
"chr412_bd03_chr412_damaged","chr412","bd03","chr412_damaged",0,0,-1,1,0
"chr413_bd03_chr413_damaged","chr413","bd03","chr413_damaged",0,0,-1,1,0
"chr219_bd03_chr219_damaged","chr219","bd03","chr219_damaged",0,0,-1,1,0
"chr079_bd03_chr079_damaged","chr079","bd03","chr079_damaged",0,0,-1,1,0
"chr596_bd03_chr596_damaged","chr596","bd03","chr596_damaged",0,0,-1,1,0
"chr576_bd03_chr576_damaged","chr576","bd03","chr576_damaged",0,0,-1,1,0
"chr456_bd03_chr456_damaged","chr456","bd03","chr456_damaged",0,0,-1,1,0
"chr102_bd03_chr102_damaged","chr102","bd03","chr102_damaged",0,0,-1,1,0
"chr409_bd03_chr409_damaged","chr409","bd03","chr409_damaged",0,0,-1,1,0
"chr349_bd03_chr349_damaged","chr349","bd03","chr349_damaged",0,0,-1,1,0
"chr372_bd03_chr372_damaged","chr372","bd03","chr372_damaged",0,0,-1,1,0
"chr474_bd03_chr474_damaged","chr474","bd03","chr474_damaged",0,0,-1,1,0
"chr051_bd03_chr051_damaged","chr051","bd03","chr051_damaged",0,0,-1,1,0
"chr057_bd03_chr057_damaged","chr057","bd03","chr057_damaged",0,0,-1,1,0
"chr056_bd03_chr056_damaged","chr056","bd03","chr056_damaged",0,0,-1,1,0
"chr359_bd03_chr359_damaged","chr359","bd03","chr359_damaged",0,0,-1,1,0
"chr073_bd03_chr073_damaged","chr073","bd03","chr073_damaged",0,0,-1,1,0
"chr610_bd03_chr610_damaged","chr610","bd03","chr610_damaged",0,0,-1,1,0
"chr611_bd03_chr611_damaged","chr611","bd03","chr611_damaged",0,0,-1,1,0
"chr058_bd03_chr058_damaged","chr058","bd03","chr058_damaged",0,0,-1,1,0
"chr015_bd03_chr015_damaged","chr015","bd03","chr015_damaged",0,0,-1,1,0
"chr303_bd03_chr303_damaged","chr303","bd03","chr303_damaged",0,0,-1,1,0
"chr623_bd03_chr623_damaged","chr623","bd03","chr623_damaged",0,0,-1,1,0
"chr706_bd03_chr706_damaged","chr706","bd03","chr706_damaged",0,0,-1,1,0
"chr304_bd03_chr304_damaged","chr304","bd03","chr304_damaged",0,0,-1,1,0
"chr378_bd03_chr378_damaged","chr378","bd03","chr378_damaged",0,0,-1,1,0
"chr454_bd03_chr454_damaged","chr454","bd03","chr454_damaged",0,0,-1,1,0
"chr428_bd03_chr428_damaged","chr428","bd03","chr428_damaged",0,0,-1,1,0
"chr142_bd03_chr142_damaged","chr142","bd03","chr142_damaged",0,0,-1,1,0
