int 0,string3 1,string3 2,string3 3,string3 4,float 5,float 6,float 7,float 8,bool 9,bool 10,bool 11,bool 12
0,"","ef_211007","","",0,0,0,0,1,0,0,0
1,"ef_211014","ef_211013","","",0,0,0,0,0,0,1,0
2,"ef_211016","ef_211015","","",0,0,0,0,0,0,1,0
3,"","ef_211007","","",0,0,0,0,1,0,0,0
4,"","","","",0,0,0,0,0,0,0,0
5,"","","","",0,0,0,0,0,0,0,0
6,"","","","",0,0,0,0,0,0,0,0
7,"","","","",0.02,0,30,15,1,0,0,1
8,"ef_200034","ef_200029","","",0,0,0,0,0,0,1,1
9,"ef_200040","ef_200035","","",0,0,0,0,0,0,1,1
10,"","ef_200020","","",0,0,0,0,0,0,1,1
11,"","","","",0,0,0,0,0,0,0,0
