int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1070101,4220001,0,10,"",0,0,"","","","","","",-11.193,4.557,70.508,60.214,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,4,5,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070102,4220001,0,10,"",0,0,"","","","","","",-47.255,10.573,32.193,60.214,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,4,6,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070103,4220002,0,10,"",0,0,"","","","","","",15.339,-0.043,114.415,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070104,4220002,0,10,"",0,0,"","","","","","",-38.322,5.546,29.423,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070105,4220002,0,10,"",0,0,"","","","","","",-11.474,1.799,74.314,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070106,4220002,0,10,"",0,0,"","","","","","",-59.798,6.004,8.801,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070107,4220003,0,10,"",0,0,"","","","","","",-10.148,3.82,88.529,-16.892,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,3.5,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070108,4220007,0,10,"",0,0,"","","","","","",3.617,14.928,-86.622,-16.892,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,3.5,6,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070109,4220007,0,10,"",0,0,"","","","","","",47.025,12.666,-47.914,-16.892,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,3.5,6,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070110,4220006,0,10,"",0,0,"","","","","","",-43.25,6.814,-4.225,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,3,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
