int 0,int 1,int 2,int 3,string2 4,int 5,int 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int 30,string2 31,float 32,float 33,float 34,int 35,float 36,float 37,float 38,float 39,float 40,float 41,int 42,int 43,int 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int 52,string3 53,float 54,float 55,float 56,int 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int 79,float 80,int 81,float 82,float 83,string2 84,int 85,float 86,int 87,float 88,float 89,float 90,string2 91,int 92,float 93,int 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
2051301,5051303,0,-1,"",0,0,"1","chr346","1","","","",0,30,-122,0,1,1,-1,-1,-1,-1,"","fe03","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,1,1,1,0,0,0,0,3,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",1,2,10,-1,"","",""
2051302,5051302,0,-1,"",0,0,"2","chr370","2","","","",-13,30,-124,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051303,5051302,0,-1,"",0,0,"3","chr370","3","","","",-11,30,-126,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051304,5051304,0,-1,"",0,0,"4","chr730","5","","","",11,33,-132,0,1,1,-1,-1,-1,-1,"","br01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,6,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,4,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051305,5051302,0,-1,"",0,0,"5","chr370","7","","","",-9,30,-124,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051306,5051302,0,-1,"",0,0,"6","chr370","8","","","",-6,30,-126,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051307,5051305,0,-1,"",0,0,"7","chr210","10","","","",4,37,-135,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,6,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,3,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051308,5051302,0,-1,"",0,0,"8","chr370","22","","","",13,30,-124,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051309,5051302,0,-1,"",0,0,"9","chr370","23","","","",11,30,-126,0,1,1,-1,-1,-1,-1,"symbol02","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,0,0,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,1,0,1,1,0,0,0,0,6,5,"",0,3,0,6,30,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
2051310,5051305,0,-1,"",0,0,"10","chr210","30","","","",12,35,-135,0,1,1,-1,-1,-1,-1,"","br01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,1,0,0,150,0,0,0,360,1,2,6,"","",5,1,"",0,90,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",0,1,0,0,1,1,0,2,0,0,3,5,"",0,3,0,4,15,4,"",0,3,1,-1,"",0,0,0,-1,"","",""
