int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
10101,4130001,0,10,"",0,0,"","","","","","",17.374,2.237,-7.762,-20.981,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,3,"",0,2,0,6,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10102,4130001,0,10,"",0,0,"","","","","","",-36.007,2.967,-1.683,114.232,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,3,3,"",0,2,0,4,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10103,4130002,0,10,"",0,0,"","","","","","",-5.829,3.927,-17.31,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10104,4130002,0,10,"",0,0,"","","","","","",7.683,0.002,-19.986,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10105,4130007,0,10,"",0,0,"","","","","","",-29.02,0.002,-20.579,78.739,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,4,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,3,3,"",0,2,0,4,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10106,4130005,0,10,"",0,0,"","","","","","",-12.318,3.999,-21.66,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,5,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10107,4130005,0,10,"",0,0,"","","","","","",0.25,5.271,-17.577,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,5,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10108,4130005,0,10,"",0,0,"","","","","","",-29.948,3,-27.427,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,5,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10109,4130005,0,10,"",0,0,"","","","","","",-29.956,4.709,-7.91,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,5,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,3,0,0,3,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
10110,4130003,0,10,"",0,0,"","","","","","",0.857,0.309,-9.645,134.447,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"ba01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,8,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,2.5,"",0,1,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
