int 0,string3 1,string3 2,empty 3
0,"ui_EFF_FLD_BALOON_NPC_02","ui_EFF_FLD_BALOON_ICON_EVENT",""
1,"ui_EFF_FLD_BALOON_NPC_03","ui_EFF_FLD_BALOON_ICON_QUEST",""
2,"ui_EFF_FLD_BALOON_NPC_01","ui_EFF_FLD_BALOON_ICON_QUEST_01",""
3,"ui_EFF_FLD_BALOON_NPC_01","ui_EFF_FLD_BALOON_ICON_QUEST_02",""
4,"ui_EFF_FLD_BALOON_NPC_01","ui_EFF_FLD_BALOON_ICON_FLENDDGMN",""
5,"ui_EFF_FLD_BALOON_NPC_01","ui_EFF_FLD_BALOON_ICON_DGMNTALK",""
6,"ui_EFF_FLD_BALOON_NPC_01","ui_EFF_FLD_BALOON_ICON_TALK_01",""
7,"ui_EFF_FLD_BALOON_NPC_02","ui_EFF_FLD_BALOON_ICON_TALK_02",""
8,"ui_EFF_FLD_BALOON_NPC_03","ui_EFF_FLD_BALOON_ICON_TALK_03",""
9,"ui_EFF_FLD_BALOON_ICON_CHECK","",""
10,"ui_EFF_FLD_BALOON_ICON_DIGIMON","",""
11,"ui_EFF_FLD_BALOON_ICON_FT","",""
12,"ui_EFF_FLD_BALOON_ICON_MAP","",""
13,"ui_EFF_FLD_BALOON_ICON_SHOP","",""
14,"ui_EFF_FLD_BALOON_ICON_TALK","",""
15,"ui_EFF_FLD_BALOON_ICON_TL","",""
16,"ui_EFF_FLD_BALOON_ICON_ENEMY_01","",""
17,"ui_EFF_FLD_BALOON_ICON_ENEMY_02","",""
18,"ui_EFF_FLD_BALOON_ICON_ENEMY_03","",""
19,"ui_EFF_FLD_BALOON_ICON_ENEMY_04","",""
