string2 0,int32 1,empty 2,empty 3,empty 4,empty 5,empty 6,empty 7,empty 8,empty 9,empty 10,empty 11,empty 12,empty 13,empty 14,empty 15,empty 16,empty 17,empty 18,empty 19,empty 20,int8 21,int8 22,int8 23,int8 24,int8 25,int8 26
"aigio_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigio_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigio_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"aigio_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigio_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"blimp_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"blimp_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"blimp_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"blimp_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"blimp_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"aigiou_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigiou_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigiou_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"aigiou_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigiou_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"aigiob_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigiob_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigiob_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
"aigiob_001_3",1,,,,,,,,,,,,,,,,,,,,0,0,1,0,15,15
"aigiob_001_4",1,,,,,,,,,,,,,,,,,,,,1,0,0,0,-15,-15
"aigiog_001_0",0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"aigiog_001_1",1,,,,,,,,,,,,,,,,,,,,0,1,0,0,15,-15
"aigiog_001_2",1,,,,,,,,,,,,,,,,,,,,0,0,0,1,-15,15
