string2 0,int 1,empty 2,empty 3,empty 4,empty 5,empty 6,empty 7,empty 8,empty 9,empty 10,empty 11,empty 12,empty 13,empty 14,empty 15,empty 16,empty 17,empty 18,empty 19,empty 20,byte 21,byte 22,byte 23,byte 24,byte 25,byte 26
"agu_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"agu_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"agu_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"agu_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"agu_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"aigio_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"aigio_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"aigio_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"aigio_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"aigio_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"aird_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"aird_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"aird_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"aird_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"aird_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"ange_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"ange_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"ange_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"ange_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"ange_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"ankylo_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"ankylo_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"ankylo_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"ankylo_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"ankylo_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"aquila_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"aquila_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"aquila_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"aquila_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"aquila_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"aruma_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"aruma_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"aruma_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"aruma_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"aruma_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"bab_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"bab_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"bab_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"bab_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"bab_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"bear_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"bear_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"bear_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"bear_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"bear_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"beji_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"beji_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"beji_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"beji_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"beji_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"beta_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"beta_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"beta_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"beta_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"beta_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"bird_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"bird_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"bird_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"bird_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"bird_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"blimp_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"blimp_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"blimp_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"blimp_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"blimp_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"bota_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"bota_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
"bota_001_2",1,"","","","","","","","","","","","","","","","","","","",0,0,0,1,-15,15
"bota_001_3",1,"","","","","","","","","","","","","","","","","","","",0,0,1,0,15,15
"bota_001_4",1,"","","","","","","","","","","","","","","","","","","",1,0,0,0,-15,-15
"bui_001_0",0,"","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0
"bui_001_1",1,"","","","","","","","","","","","","","","","","","","",0,1,0,0,15,-15
