int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
10204001,"",-1,"gim_0001",0,"d0204door00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204100,"",2,"obj_0001",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204101,"",2,"obj_0002",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204102,"",1,"obj_0003",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204103,"",1,"obj_0004",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204104,"",2,"obj_0005",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204105,"",2,"obj_0006",0,"d02chair00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204106,"",1,"obj_0007",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204107,"",1,"obj_0008",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204108,"",2,"obj_0009",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204109,"",2,"obj_0010",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204110,"",2,"obj_0011",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204111,"",1,"obj_0012",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204112,"",2,"obj_0013",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204113,"",1,"obj_0014",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204114,"",2,"obj_0015",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204115,"",2,"obj_0016",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204116,"",2,"obj_0017",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204117,"",1,"obj_0018",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204118,"",1,"obj_0019",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204119,"",2,"obj_0020",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204120,"",1,"obj_0021",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204121,"",1,"obj_0022",0,"d02chair01",1,0,"","","","","",0,0,"",0,0,0,0,0
10204122,"",1,"obj_0023",0,"f00meatdish00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204400,"",-1,"change_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10204450,"",99,"change_0002",1,"ef_f_mov_120_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
