int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,bool 17,bool 18,bool 19,bool 20,string2 21,int32 22,string2 23,string2 24,int32 25,string2 26,string2 27,int32 28,string2 29,string2 30,int32 31,string2 32,string2 33,int32 34,string2 35,string2 36,int32 37,string2 38,string2 39,int32 40,string2 41,string2 42,int32 43,string2 44,string2 45,int32 46,string2 47,string2 48,int32 49,string2 50,string2 51,int32 52,int32 53,int32 54,int32 55,int32 56,int32 57,int32 58,int32 59,int32 60,int32 61,int32 62,int32 63,int32 64,int32 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,bool 72,bool 73,bool 74
10301000,"Common","","","","","","","","","","","","","","","",true,true,true,true,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301001,"A2020_dbef_120","A2020_dbef_190","","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_MAIN_05_087","FLAG_MAIN_05_101",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301002,"A2028_daft_220","A2028_daft_10000","P2028_daft_220","P2028_daft_10000","Z2028_daft_220","Z2028_daft_10000","","","A2028_daft_280","","P2028_daft_280","","","","","",true,true,true,true,"",0,"FLAG_MAIN_09_033","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301003,"A2020_dbef_120","A2020_dbef_190","","","","","","","","","","","","","","",true,true,true,true,"",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301050,"Common","","","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_018_001","FLAG_IS_CLEAR_S020_018",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301051,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_010",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301052,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_011",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301053,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_012",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301054,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_013",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301055,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_014",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301056,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_015",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
10301057,"A2028_daft_360","A2028_daft_450","A2028_daft_419","","","","","","","","","","","","","",true,true,true,true,"",0,"FLAG_SUB_020_173_001","FLAG_SUB_020_173_016",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,true,false,false
