int32 0,string2 1,float 2,float 3,float 4,float 5,float 6,int32 7,int32 8,float 9,float 10,float 11,float 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int32 22,int32 23,int32 24,int32 25,string2 26,string2 27,int32 28
11301003,"3",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301004,"4",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301005,"5",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301006,"6",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301007,"7",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301008,"8",0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301009,"9",2,360,360,2,1,38,2,0,1.2,0.2,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301010,"10",0,0,0,0,0,0,2,0,1,0.2,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301011,"11",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301400,"400",2,360,360,2,1,34,2,0,1.3,0.7,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301401,"400",0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301500,"500",2,360,360,1,1,8,2,0,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301501,"501",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11301900,"",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
