int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
11303001,"",-1,"door_access","",false,"f00iconobj00",1,0,"","","","","",0,0,19.873,0,-1.713,0,0,0,1,1,"",0,0,0,0,0,2,160,360,1,1,34,1,-0.1,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303002,"",50,"s200_149_001","",false,"f00iconobj00",1,0,"","","","","",0,0,15.543,0,-5.191,0,0,0,1,1,"",0,0,0,0,0,2,360,360,1,1,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303003,"",50,"s200_149_002","",false,"f00iconobj00",1,0,"","","","","",0,0,13.742,0,4.975,0,0,0,1,1,"",0,0,0,0,0,2,360,360,1,1,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303004,"",50,"s200_149_003","",false,"f00iconobj00",1,0,"","","","","",0,0,11.11,-0.001,1.411,0,0,0,1,1,"",0,0,0,0,0,2,360,360,1,1,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303005,"",1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-4.709,0,0.577,-16.743,0,0,1,1,"wall_cl",2.5,5,4.5,0,0,0,0,0,0,0,0,1,-0.1,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303006,"",1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-5.931,0,0.24,-16.743,0,0,1,1,"wall_cl",5,5,1.8,0,0,0,0,0,0,0,0,1,-0.1,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303600,"",-1,"obj_0100","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,18.234,0,5.086,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303601,"",-1,"obj_0101","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,4.811,0,9.604,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303602,"",-1,"obj_0102","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-1.792,-0.001,9.294,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303603,"",-1,"obj_0103","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-6.765,-0.001,8.934,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303604,"",-1,"obj_0104","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-11.561,-0.001,8.212,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303605,"",-1,"obj_0105","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-11.553,-0.001,-8.78,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303606,"",-1,"obj_0106","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-6.641,-0.001,-8.718,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11303607,"",-1,"obj_0107","",false,"f00iconobj00",1,0,"","ef_221404","","","",0,0,-1.364,-0.001,-8.79,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
