int 0,string3 1,int 2,string2 3,string2 4,bool 5,string2 6,int 7,int 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int 35,int 36,float 37,float 38,float 39,float 40,int 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int 50,int 51,int 52,int 53,string2 54,string2 55,int 56
11401001,"",-1,"sub153_target01","",0,"f00iconobj00",1,0,"","","","","",0,0,10.735,1,-36.891,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401002,"",-1,"sub153_target02","",0,"f00iconobj00",1,0,"","","","","",0,0,71.508,0.999,-2.598,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401003,"",-1,"","",0,"d1401breakdebris00",1,0,"","","","","",0,0,50.769,1,-16.388,0,0,0,1,1,"wall_cl",6.034,2.931,2.931,0.857,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401004,"",-1,"","",0,"d1401breakdebris00",1,0,"","","","","",0,0,71.743,0.999,-27.166,0,0,0,1,1,"wall_cl",6.034,2.931,2.931,0.857,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401005,"",-1,"","",0,"d1401breakdebris00",1,0,"","","","","",0,0,-15.96,0.999,-4.851,-99.007,0,0,1,1,"wall_cl",6.034,2.931,2.931,0.857,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401006,"",-1,"","",0,"d1403debris00",1,0,"","","","e001","",0,0,5.551,0.038,-18.014,36.091,0,0,1,1,"wall_cl",5,4,10,1,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401007,"",-1,"","",0,"d1402breakdebris01",1,0,"","","","","",0,0,83.602,-1.667,-39.557,0,0,0,1,1,"wall_cl",6.034,2.931,2.931,0.857,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401008,"",1,"","col_2",0,"f00iconobj00",1,0,"","","","","",0,0,7.053,0.504,68.101,0,0,0,1,1,"wall_cl",1,5,10,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11401100,"",-1,"fa_treasure_01","fa_obj",0,"f00box00",1,0,"","","","","",0,0,7.296,1,-7.424,0,0,0,1,1,"wall_cl",1,3,1,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1401_011","1",21401001
11401101,"",-1,"fa_treasure_02","fa_obj",0,"f00box00",1,0,"","","","","",0,0,67.426,1,-35.265,0,0,0,1,1,"wall_cl",1,3,1,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,10,2,2,0,0.2,0,"",0,0,-1,0,"FLAG_GIMMICK_FA_D1401_012","1",21401002
