int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
20301001,"",-1,"gim_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301002,"",-1,"gim_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301003,"",-1,"gim_0003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301004,"",-1,"gim_0004",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301100,"",-1,"obj_0001",false,"h03road01",1,0,"","","","","",0,0,"",0,0,0,0,0
20301101,"",-1,"obj_0002",false,"h03road01",1,0,"","","","","",0,0,"",0,0,0,0,0
20301102,"",-1,"obj_0003",false,"h03road00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301103,"",-1,"obj_0004",false,"h03road00",1,0,"","","","","",0,0,"",0,0,0,0,0
20301400,"",-1,"change_0001",true,"ef_f_mov_121_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
20301900,"",-1,"gim_9000",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
