int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
20418001,"",-1,"way_out","",false,"ef_f_mov_121_ga",1,0,"","","","","",0,0,0,30,56.633,180,0,0,1,1,"",0,0,0,0,0,2,360,360,1,1,38,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418002,"",-1,"control_panel","",false,"f00iconobj00",1,0,"","","","","",0,0,1.7,31.6,40.7,0,0,0,1,1,"",0,0,0,0,0,2,360,160,1,2,2,2,0,-0.2,0,10,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418003,"",1,"terminal","",false,"h04pendulum00",1,0,"","","","","",0,0,0,30,40,0,0,0,0.5,0,"wall_cl",5,3.5,2,1.75,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418004,"",2,"","",false,"h04pendulum00",1,0,"","","","e001","",0,0,0,30,40,0,0,0,0.5,0,"wall_cl",5,3.5,2,1.75,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418005,"",3,"log_message","4991101",false,"h00pop00",1,0,"","","","","",0,0,-5.5,30,40,0,0,0,1,1,"",0,0,0,0,0,2,160,360,1,1,2,2,0,1,0,10,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418006,"",4,"","",false,"h00pop00",1,0,"","","","e002","",0,0,-5.5,30,40,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418007,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,0,15,11.5,0,0,0,1,1,"invisible",18,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418008,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-9,15,8.5,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418009,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-9,15,-6.5,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418010,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,9,15,-6.5,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418011,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,9,15,8.5,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418012,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-6,15,-10,0,0,0,1,1,"invisible",6,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418013,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,6,15,-10,0,0,0,1,1,"invisible",6,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418014,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,0,20,22,0,0,0,1,1,"sybl_cl",50,15,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418015,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,25,20,-2.5,0,0,0,1,1,"sybl_cl",50,15,1,0,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418016,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-25,20,-2.5,0,0,0,1,1,"sybl_cl",50,15,1,0,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418017,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,0,15,-65.5,0,0,0,1,1,"invisible",18,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418018,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-9,15,-48,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418019,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-9,15,-62,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418020,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,9,15,-62,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418021,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,9,15,-48,0,0,0,1,1,"invisible",6,6.5,1,3,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418022,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-6,15,-45,0,0,0,1,1,"invisible",6,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418023,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,6,15,-45,0,0,0,1,1,"invisible",6,6.5,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418024,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,25,20,-57.5,0,0,0,1,1,"sybl_cl",50,15,1,0,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418025,"",-1,"","",false,"f00iconobj00",1,0,"","","","","",0,0,-25,20,-57.5,0,0,0,1,1,"sybl_cl",50,15,1,0,90,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418026,"",10,"wall1","",false,"f00iconobj00",1,0,"","","","","",0,0,-6.5,-2,0.9,0,0,0,1,1,"invisible_wall",2,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418027,"",10,"gate1a","",false,"f00electgate00",1,0,"","","","","",0,0,-6.5,-2,4,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418028,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,-6.5,-1,2.8,-90,0,0,2,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418029,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,-6.5,-1,1.6,-90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418030,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,-6.5,-1,0.4,-90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418031,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,-6.5,-1,-0.8,-90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418032,"",10,"gate1b","",false,"f00electgate00",1,0,"","","","","",0,0,-6.5,-2,-2,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418033,"",10,"wall2","",false,"f00iconobj00",1,0,"","","","","",0,0,6.5,-2,0.9,0,0,0,1,1,"invisible_wall",2,3,8,1.5,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418034,"",10,"gate2a","",false,"f00electgate00",1,0,"","","","","",0,0,6.5,-2,4,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418035,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,6.5,-1,2.8,-90,0,0,2,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20418036,"",10,"","",false,"f00electshield00",1,0,"","","","","",0,0,6.5,-1,1.6,-90,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
