int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
105001,"",-1,"gim_0001",false,"t0105fencedoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105010,"",-1,"gim_0010",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105011,"",-1,"gim_0011",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105012,"",-1,"gim_0012",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105013,"",-1,"gim_0013",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105014,"",-1,"gim_0014",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105015,"",-1,"gim_0015",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105016,"",-1,"gim_0016",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105017,"",-1,"gim_0017",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105018,"",-1,"gim_0018",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105019,"",-1,"gim_0019",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105020,"",-1,"gim_0020",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105021,"",-1,"gim_0021",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105022,"",-1,"gim_0022",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105023,"",-1,"gim_0023",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105024,"",-1,"gim_0024",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105025,"",-1,"gim_0025",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105026,"",-1,"gim_0026",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105027,"",-1,"gim_0027",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105028,"",-1,"gim_0028",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105029,"",-1,"gim_0029",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105030,"",-1,"gim_0030",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105031,"",-1,"gim_0031",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105032,"",-1,"gim_0032",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105033,"",-1,"gim_0033",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105034,"",-1,"gim_0034",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105035,"",-1,"gim_0035",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105036,"",-1,"gim_0036",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105037,"",-1,"gim_0037",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105038,"",-1,"gim_0038",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105039,"",-1,"gim_0039",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105040,"",-1,"gim_0040",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105041,"",-1,"gim_0041",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105042,"",-1,"gim_0042",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105043,"",-1,"gim_0043",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105044,"",-1,"gim_0044",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105045,"",-1,"gim_0045",false,"t0105platformdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
105200,"",-1,"obj_0001",false,"t0105locker00",1,0,"","","","","",0,0,"",0,0,0,0,0
105900,"",-1,"gim_9001",true,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
