int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
108101,"",-1,"signal_0001",0,"f00traffic00",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108102,"",-1,"signal_0002",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108103,"",-1,"signal_0003",0,"f00traffic00",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108104,"",-1,"signal_0004",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108105,"",-1,"signal_0005",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108106,"",-1,"signal_0006",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108107,"",-1,"signal_0007",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108108,"",-1,"signal_0008",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108109,"",-1,"signal_0009",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108110,"",-1,"signal_0010",0,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
108151,"",-1,"signal_0051",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108152,"",-1,"signal_0052",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108153,"",-1,"signal_0053",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108154,"",-1,"signal_0054",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108155,"",-1,"signal_0055",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108156,"",-1,"signal_0056",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108157,"",-1,"signal_0057",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108158,"",-1,"signal_0058",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108159,"",-1,"signal_0059",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108160,"",-1,"signal_0060",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108161,"",-1,"signal_0061",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108162,"",-1,"signal_0062",0,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
108701,"",10,"gim_0002",0,"f00taxi01",1,0,"","","","","",0,0,"",0,0,0,0,0
108702,"",10,"gim_0003",0,"f00taxi01",1,0,"","","","","",0,0,"",0,0,0,0,0
108703,"",10,"gim_0004",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
108704,"",10,"obj_0001",0,"f00taxi01",1,0,"","","","","",0,0,"",0,0,0,0,0
108801,"",-1,"gim_8000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
