int 0,string2 1,float 2,float 3,float 4,float 5,float 6,int 7,int 8,float 9,float 10,float 11,float 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int 22,int 23,int 24,int 25,string2 26,string2 27,int 28
303001,"1",2,160,360,1,1,2,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303100,"100",0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303101,"101",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303102,"102",0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303200,"200",0,0,0,1,1,0,2,0,0,0,-1,-1,0,15,2.5,2.5,0,0,0,"",0,0,-1,0,"","",-1
303201,"201",0,0,0,1,1,0,2,0,0,0,-1,-1,0,15,2.5,2.5,0,0.2,0,"",0,0,-1,0,"","",-1
303300,"300",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303400,"400",2,160,360,1,1,4,1,0,0.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303401,"401",0.5,160,360,1,1,34,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303500,"500",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303600,"600",2,160,360,1,1,2,2,0,0,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
303601,"601",2,160,360,1,1,2,2,0,0,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
