int32 0,string2 1,float 2,float 3,float 4,float 5,float 6,int32 7,int32 8,float 9,float 10,float 11,float 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int32 22,int32 23,int32 24,int32 25,string2 26,string2 27,int32 28
401001,"1",2,160,180,1,1,2,2,0,1,0,5,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401002,"2",2,160,360,1,1,2,2,0,1,0,5,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401003,"3",2,160,360,1,1,2,2,0,1,0,5,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401004,"4",2,160,360,1,1,2,2,0,1,0,5,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401005,"5",2,160,360,1,1,2,2,0,1.5,0,5,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401401,"401",1.5,160,360,0.1,0.1,34,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401402,"402",1.5,160,360,0.1,0.1,39,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401403,"403",1.5,160,360,0.1,0.1,34,2,0,1,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401404,"404",2,160,360,3,3,3,2,0,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401490,"490",2,160,360,1,1,4,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401491,"491",2,160,360,1,1,4,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401492,"492",2,160,360,1,1,4,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401500,"500",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401700,"700",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
401701,"701",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
