int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
3001001,"",50,"elv_access01","",false,"f00iconobj00",1,0,"","","","","",0,0,-11.908,0,-13.493,0,0,0,1,1,"",0,0,0,0,0,3,160,360,1,1,16,2,0,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001002,"",51,"elv_access02","",false,"f00iconobj00",1,0,"","","","","",0,0,-11.908,0,-13.493,0,0,0,1,1,"",0,0,0,0,0,3,160,360,1,1,16,2,0,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001003,"",-1,"lookat_01","lookat",false,"f00iconobj00",1,0,"","","","","",0,0,0.037,1.4,27.621,24.655,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,10,3,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001004,"",-1,"lookat_02","lookat",false,"f00iconobj00",1,0,"","","","","",0,0,28.23,1.4,-13.778,24.655,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,10,2,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001005,"",-1,"lookat_03","lookat",false,"f00iconobj00",1,0,"","","","","",0,0,-0.055,5.4,-25.685,24.655,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,10,2,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001100,"",-1,"elv_obj","elv",false,"t30elv00",1,0,"","","","","",0,0,-11.97,0,-8.5,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001150,"",-1,"DLC_elv","",false,"f00iconobj00",1,0,"","","","","",0,0,-12.085,0,-9.768,88.592,0,0,1,1,"",0,0,0,0,0,2,180,180,4,1,43,2,0,1.2,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001200,"",-1,"obj_movewall00","",false,"t3001movewall00",1,0,"","","","","",0,0,0,7.8,-25.1,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001201,"",-1,"obj_reliefparts01","",false,"t3001reliefparts01",1,0,"","","","","",0,0,-3.3,12.57,-25.45,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001202,"",-1,"obj_reliefparts02","",false,"t3001reliefparts02",1,0,"","","","","",0,0,3.3,12.57,-25.45,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001203,"",-1,"obj_reliefparts03","",false,"t3001reliefparts03",1,0,"","","","","",0,0,0,12.57,-24.85,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001204,"",-1,"obj_reliefparts04","",false,"t3001reliefparts04",1,0,"","","","","",0,0,0,12.57,-24.85,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001205,"",-1,"obj_reliefparts05","",false,"t3001reliefparts05",1,0,"","","","","",0,0,3.3,12.57,-25.45,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001206,"",-1,"obj_reliefparts06","",false,"t3001reliefparts06",1,0,"","","","","",0,0,0,12.57,-24.85,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
3001207,"",-1,"obj_reliefparts07","",false,"t3001reliefparts07",1,0,"","","","","",0,0,-3.3,12.57,-25.45,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
