int 0,int 1,int 2,string2 3,float 4,float 5,float 6,int 7,empty 8,int 9
101030,1,0,"hazama_gate01",-1,0,0,923,"",4000204
101070,2,0,"hazama_gate01",-1,0,0,983,"",4000204
101090,3,0,"hazama_gate01",-1,0,0,953,"",4000204
102170,4,0,"hazama_gate01",-1,0,0,980,"",4000204
102020,5,0,"hazama_gate01",-1,0,0,982,"",4000204
102160,6,0,"hazama_gate01",-1,0,0,951,"",4000204
103020,7,0,"hazama_gate01",-1,0,0,946,"",4000204
103021,8,0,"hazama_gate02",-1,0,0,933,"",4000204
103040,9,0,"hazama_gate01",-1,0,0,922,"",4000204
104030,10,0,"hazama_gate01",-1,0,0,981,"",4000204
104040,11,0,"hazama_gate01",-1,0,0,950,"",4000204
104050,12,0,"hazama_gate01",-1,0,0,948,"",4000204
105010,13,0,"hazama_gate01",-1,0,0,931,"",4000204
105020,14,0,"hazama_gate01",-1,0,0,930,"",4000204
105060,15,0,"hazama_gate01",-1,0,0,932,"",4000204
107030,16,0,"hazama_gate01",-1,0,0,952,"",4000204
1050,17,0,"hazama_gate01",-1,0,0,921,"",4000204
1090,18,0,"hazama_gate01",-1,0,0,920,"",4000204
2030,19,0,"hazama_gate01",-1,0,0,945,"",4000204
4010,20,0,"hazama_gate01",-1,0,0,947,"",4000204
1095,101,0,"theater_0001",-1,0,0,-1,"",-1
1215,102,0,"theater_0001",-1,0,0,-1,"",-1
101015,103,0,"theater_0001",-1,0,0,-1,"",-1
101055,104,0,"theater_0001",-1,0,0,-1,"",-1
101095,105,0,"theater_0001",-1,0,0,-1,"",-1
102025,106,0,"theater_0001",-1,0,0,-1,"",-1
102105,107,0,"theater_0001",-1,0,0,-1,"",-1
102175,108,0,"theater_0001",-1,0,0,-1,"",-1
103015,109,0,"theater_0001",-1,0,0,-1,"",-1
103025,110,0,"theater_0001",-1,0,0,-1,"",-1
103035,111,0,"theater_0001",-1,0,0,-1,"",-1
103045,112,0,"theater_0001",-1,0,0,-1,"",-1
103055,113,0,"theater_0001",-1,0,0,-1,"",-1
104015,114,0,"theater_0001",-1,0,0,-1,"",-1
104045,115,0,"theater_0001",-1,0,0,-1,"",-1
105015,116,0,"theater_0001",-1,0,0,-1,"",-1
105016,117,0,"theater_0002",-1,0,0,-1,"",-1
105055,118,0,"theater_0001",-1,0,0,-1,"",-1
105065,119,0,"theater_0001",-1,0,0,-1,"",-1
106015,120,0,"theater_0001",-1,0,0,-1,"",-1
106025,121,0,"theater_0001",-1,0,0,-1,"",-1
106065,122,0,"theater_0001",-1,0,0,-1,"",-1
107015,123,0,"theater_0001",-1,0,0,-1,"",-1
107025,124,0,"theater_0001",-1,0,0,-1,"",-1
109015,125,0,"theater_0001",-1,0,0,-1,"",-1
109025,126,0,"theater_0001",-1,0,0,-1,"",-1
109035,127,0,"theater_0001",-1,0,0,-1,"",-1
109045,128,0,"theater_0001",-1,0,0,-1,"",-1
109055,129,0,"theater_0001",-1,0,0,-1,"",-1
109065,130,0,"theater_0001",-1,0,0,-1,"",-1
109075,131,0,"theater_0001",-1,0,0,-1,"",-1
111025,132,0,"theater_0001",-1,0,0,-1,"",-1
111035,133,0,"theater_0001",-1,0,0,-1,"",-1
112045,134,0,"theater_0001",-1,0,0,-1,"",-1
103036,135,0,"theater_0002",-1,0,0,-1,"",-1
111045,136,0,"theater_0001",-1,0,0,-1,"",-1
113015,137,0,"theater_0001",-1,0,0,-1,"",-1
113025,138,0,"theater_0001",-1,0,0,-1,"",-1
106045,139,0,"theater_0001",-1,0,0,-1,"",-1
106046,140,0,"theater_0002",-1,0,0,-1,"",-1
104025,141,0,"theater_0001",-1,0,0,-1,"",-1
102065,142,0,"theater_0001",-1,0,0,-1,"",-1
