int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
100,"FirstPast","FinalPast","","","","","","","","","","","","","","","bg_t0001",1,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
101,"FirstPresent","FinalPresent","","","","","","","","","","","","","","","bg_t0001",2,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
102,"A2020_dbef_0","A2020_dbef_50","","","","","","","","","","","","","","","bg_t0001",1,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
103,"A2020_dbef_51","","","","","","","","","","","","","","","","bg_t0001",1,2,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
104,"A2020_dbef_60","A2020_dbef_100","","","","","","","","","","","","","","","bg_t0001",1,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
105,"A2020_dbef_101","","","","","","","","","","","","","","","","bg_t0001",1,2,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
106,"A2020_dbef_110","","","","","","","","","","","","","","","","bg_t0001",1,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
107,"A2020_dbef_111","","","","","","","","","","","","","","","","bg_t0001",1,3,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
108,"A2020_dbef_200","A2020_dbef_210","","","","","","","","","","","","","","","bg_t0001",1,2,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
109,"Z2028_daft_390","","","","","","","","","","","","","","","","bg_t0001",2,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
110,"A2028_daft_220","A2028_daft_450","","","","","","","","","","","","","","","bg_t0001",2,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
111,"P2028_daft_220","P2028_daft_450","","","","","","","","","","","","","","","bg_t0001",2,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
112,"A2020_dbef_119","","","","","","","","","","","","","","","","bg_t0001",1,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
113,"A2028_daft_419","","","","","","","","","","","","","","","","bg_t0001",2,1,9,"","cam01_railcam","t0001p",-99,0,4,"t00","t00npc","t00gim","t00prcs","","t00ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
10100,"FirstPast","FinalPast","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10101,"FirstPresent","FinalPresent","","","","","","","","","","","","","","","bg_t0101",2,1,4,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10102,"X2028_daft_0","X2028_daft_20","","","","","","","","","","","","","","","bg_t0101",2,0,9,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2028_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10103,"A2020_dbef_0","A2020_dbef_50","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10104,"A2020_dbef_51","","","","","","","","","","","","","","","","bg_t0101",1,2,2,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10105,"A2020_dbef_60","A2020_dbef_70","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
10106,"A2020_dbef_71","","","","","","","","","","","","","","","","bg_t0101",1,2,2,"","cam01_railcam","t0101p",0,0,4,"t01","t01npc","t01gim","t01prcs","","t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,2,0,"2020_RW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
