int 0,int 1,string3 2,string3 3,int 4,int 5,int 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int 14,int 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,int 24,float 25,float 26,float 27,float 28,int 29,int 30,string3 31,string3 32,string3 33,int 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
20408003,1,"","chr219",0,0,0,"","","f001","",0,0,"F01",2,0,-7.83,0.797,9.334,93.132,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408004,1,"","chr241",0,0,0,"","","bn02","",0,0,"F01",0,0,8.326,0,11.517,-161.493,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408005,1,"","chr682",0,0,0,"","","f000","",0,0,"F01",2,0,-8.115,0.834,7.753,103.69,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408006,1,"","chr359",0,0,0,"","","f000","",0,0,"F01",0,0,-2.557,0,2.605,103.266,0,0,1,1,0,0,0,0,-1,0,1,"waiter","デジモンデフォルト","rail_move_106",0,2,1,-1,"1","","","","",""
20408007,1,"","chr241",0,0,0,"","","fe01","",0,0,"F01",0,0,4.544,5.176,-1.989,390.96,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408010,1,"","chr241",0,0,0,"","","bn02","",0,0,"F01",0,0,-7.361,1.785,-6.59,462.777,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408011,1,"","chr758",0,0,0,"","","fn02_01","",0,0,"F01",2,0,-6.715,0,5.307,326.731,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408018,1,"","chr410",0,0,0,"","","fq02","",0,0,"F01",0,0,-8.215,0.784,-3.437,-457.854,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408001,2,"mob_001","chr010",0,0,0,"","","fe02","",0,0,"F01",0,0,-0.087,0,1.153,216.208,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408002,2,"","chr097",0,0,0,"","","fe02","",0,0,"F01",0,0,7.578,2.028,-2.606,706.517,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408008,2,"","chr241",0,0,0,"","","fe04","",0,0,"F01",0,0,2.073,0,-1.347,340.666,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408009,2,"","chr241",0,0,0,"","","bn02","",0,0,"F01",2,0,-8.265,0.753,4.713,422.239,0,0,1,1,0,0,0,0,-1,1,0,"","","",0,0,1,-1,"","","","","",""
20408012,2,"","chr398",0,0,0,"","","fe02","",0,0,"F01",0,0,6.527,0,-3.933,-769.739,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408013,2,"","chr009",0,0,0,"","","fq01","",0,0,"F01",2,0,-1.083,0.519,6.595,238.409,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408014,2,"","chr092",0,0,0,"","","fq02","",0,0,"F03",0,0,2.804,0,6.354,-60.453,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408015,2,"","chr706",0,0,0,"","","fe02","",0,0,"F03",0,0,1.573,-0.001,7.418,-244.409,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408016,2,"","chr052",0,0,0,"","","fq01","",0,0,"F01",2,0,-2.665,0,9.475,353.326,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
20408017,2,"","chr610",0,0,0,"","","fq01","",0,0,"F01",0,0,-1.133,0,1.82,866.783,0,0,1,1,0,0,0,0,-1,0,0,"","","",0,0,1,-1,"","","","","",""
