int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
22410001,1,"","chr410",0,0,0,"","","fq02","",0,0,"F01",0,0,-9.012,-0.845,2.359,120.868,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410002,1,"","chr708",0,0,0,"","","bn02","",0,0,"F01",0,0,0.024,0.028,5.207,59.264,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410003,4,"","chr042",0,0,0,"","","bn02","",0,0,"F01",0,0,6.928,0.336,-5.628,32.921,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410004,4,"","chr056",0,0,0,"","","fe01","",0,0,"F01",0,0,8.332,0.832,-2.663,-133.342,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410005,4,"","chr623",0,0,0,"","","bn02","",0,0,"F03",0,0,8.642,0.069,-1.913,-134.126,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410006,4,"","chr595",0,0,0,"","","fq02","",0,0,"F01",2,0,4.716,0.069,-2.318,-205.037,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410007,4,"","chr708",0,0,0,"","","f000","",0,0,"F01",0,0,-6.317,0.081,-0.511,-30.762,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410008,1,"","chr061",0,0,0,"","","bd03","chr061_damaged",0,0,"F01",0,0,-6.892,0.072,-2.606,9.157,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410009,1,"","chr412",0,0,0,"","","bd03","chr412_damaged",0,0,"F03",2,0,3.393,0.024,4.832,3.504,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410010,1,"","chr596",0,0,0,"","","bd03","chr596_damaged",0,0,"F01",2,0,9.478,0.024,8.133,96.828,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410011,4,"","chr044",0,0,0,"","","bn02","",0,0,"F03",0,0,-9.157,0.674,-1.125,81.506,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410012,4,"","chr056",0,0,0,"","","fq02","",0,0,"F01",0,0,8.149,0.494,1.829,-296.383,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410013,4,"","chr219",0,0,0,"","","bd03","chr219_damaged",0,0,"F02",2,0,7.17,0.069,0.179,-70.535,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410014,1,"","chr512",0,0,0,"","","bn02","",0,0,"F03",0,0,2.603,0.081,6.136,-73.849,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410015,1,"","chr437",0,0,0,"","","bn02","",0,0,"F02",0,0,1.603,0.081,7.606,-107.284,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410016,1,"","chr676",0,0,0,"","","bd03","chr676_damaged",0,0,"F01",2,0,-5.553,-0.021,3.828,269.565,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410017,4,"","chr359",0,0,0,"","","fq02","",0,0,"F01",2,0,7.859,0.081,7.612,50.673,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410018,4,"","chr219",0,0,0,"","","bn02","",0,0,"F02",2,0,7.501,0.069,-0.689,-41.165,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410019,1,"","chr413",0,0,0,"","","bd03","chr413_damaged",0,0,"F01",2,0,2.123,0.063,4.333,9.857,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410020,1,"","chr576",0,0,0,"","","bd03","chr576_damaged",0,0,"F01",2,0,0.434,0.081,4.155,9.857,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410021,1,"","chr456",0,0,0,"","","bd03","chr456_damaged",0,0,"F01",2,0,9.356,0.024,5.944,96.828,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
22410022,1,"","chr102",0,0,0,"","","bd03","chr102_damaged",0,0,"F01",2,0,-5.326,0.081,2.179,-91.629,0,0,1,1,0,0,0,0,-1,0,0,"","デジモンデフォルト","",1,0,true,-1,"","","","","",""
