int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
41403600,10,"mob_m420_100_01","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-5.034,0.505,-149.901,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403601,10,"mob_m420_100_02","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-8.874,0.505,-157.937,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403602,10,"mob_m420_100_03","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-9.272,0.505,-170.93901,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403603,10,"mob_m420_100_04","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,4.422,0.505,-170.712,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403604,10,"mob_m420_100_05","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,9.428,0.505,-163.57,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403605,10,"mob_m420_100_06","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,5.692,0.505,-151.994,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403606,10,"mob_m420_100_07","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-5.034,0.505,-95.901,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403607,10,"mob_m420_100_08","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-8.874,0.505,-103.937,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403608,10,"mob_m420_100_09","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-9.272,0.505,-116.939,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403609,10,"mob_m420_100_10","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,4.422,0.505,-116.712,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403610,10,"mob_m420_100_11","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,9.428,0.505,-109.57,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403611,10,"mob_m420_100_12","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,5.692,0.505,-97.994,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
41403612,10,"mob_m420_100_13","chr805",0,0,0,"","","bn01","",0,0,"F01",1,0,-5.034,0.505,-41.901,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
