int 0,int 1,string3 2,string3 3,int 4,int 5,int 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int 14,int 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int 23,int 24,float 25,float 26,float 27,float 28,int 29,int 30,string3 31,string3 32,string3 33,int 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
212001,1,"","mob023",0,0,0,"","","fn30","",0,0,"F01",0,0,-5.271,0.2,-5.632,-107.99,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212002,1,"","mob003",0,0,0,"","","fn71","",0,0,"F01",0,0,3.214,0.354,5.62,9.792,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212003,1,"","mob004",0,0,0,"","","fn37","",0,0,"F01",0,0,4.795,0,0.842,-101.533,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212004,1,"","mob004",0,0,0,"","","fn37","",0,0,"F01",0,0,-0.014,0,-0.116,88.038,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212005,1,"","mob193",0,0,0,"","","fn31","",0,1,"F01",0,0,1.391,0,5.298,35.14,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212006,1,"","mob013",0,0,0,"","","fn05","",0,0,"F01",0,0,-0.3,0.03,-4.36,0,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212007,1,"","mob015",0,0,0,"","","fn05","",0,0,"F01",0,0,-0.3,0,-3.27,180,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212008,1,"","mob014",0,0,0,"","","fn04","",0,0,"F01",0,0,3.64,0.12,-0.1,90,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212009,1,"","mob031",0,0,0,"","","fn02","",0,0,"F01",0,0,-4.782,0.2,-0.64,91.261,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212010,1,"","mob151",0,0,0,"","","fn05","",0,0,"F01",0,0,4.891,0.04,-0.101,-101.533,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
212011,1,"","mob071",0,0,0,"","","fn05","",0,0,"F01",0,0,2.988,0.03,-2.856,167.501,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,1,-1,"","","","","",""
