int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
6002001,-1,"disapeear_mob_01","npc106ii010101",0,0,0,"t3001_walk_disappear","","fw02_01","",0,0,"F01",0,0,2.345,0,-2.445,-99.141,0,0,1,1,0,0,0,0,-1,0,1,"t30","歩行者無視","rail_move_01",1,0,true,-1,"","","","","",""
6002002,-1,"disapeear_mob_10","npc106ii010101",0,0,0,"t3001_walk2f_disappear","","fw02_01","",0,0,"F01",0,0,1.297,-0.001,21.258,-179.148,0,0,1,1,0,0,0,0,-1,0,1,"t30","歩行者無視","rail_move_10",1,0,true,-1,"","","","","",""
6002003,-1,"disapeear_mob_03","npc105ii010101",0,0,0,"t3001_walk_disappear","","fw01_01","",0,0,"F01",0,0,-3.332,0,-1.466,-152.094,0,0,1,1,0,0,0,0,-1,1,1,"ignore","歩行者無視","rail_move_03",1,0,true,-1,"","","","","",""
6002004,-1,"disapeear_mob_04","npc105ii010101",0,0,0,"t3001_walk_disappear","","fw01_01","",0,0,"F01",0,0,-4.789,0,7.914,-90.149,0,0,1,1,0,0,0,0,-1,0,1,"ignore","歩行者無視","rail_move_04",1,0,true,-1,"","","","","",""
6002005,-1,"disapeear_mob_05","npc105ii010101",0,0,0,"t3001_walk_disappear","","fw01_01","",0,0,"F01",0,0,3.918,0,2.943,174.513,0,0,1,1,0,0,0,0,-1,0,1,"ignore","歩行者無視","rail_move_05",1,0,true,-1,"","","","","",""
6002006,-1,"disapeear_mob_07","npc106ii010101",0,0,0,"","","fnt02_01","",0,0,"F01",0,0,4.723,0,-14.084,-431.138,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002007,-1,"disapeear_mob_08","npc105ii010101",0,0,0,"t3001_walk2f_disappear","","fw01_01","",0,0,"F01",0,0,-10.176,6.5,-20.211,0,0,0,1,1,0,0,0,0,-1,1,1,"ignore","歩行者無視","rail_move_08",1,0,true,-1,"","","","","",""
6002008,-1,"disapeear_mob_09","npc105ii010101",0,0,0,"t3001_walk2f_disappear","","fw01_01","",0,0,"F01",0,0,10.561,6.504,8.264,0,0,0,1,1,0,0,0,0,-1,1,1,"ignore","歩行者無視","rail_move_09",1,0,true,-1,"","","","","",""
6002009,-1,"disapeear_mob_02","npc105ii010101",0,0,0,"t3001_walk2f_disappear","","fw01_01","",0,0,"F01",0,0,-0.726,-0.001,6.602,1.993,0,0,1,1,0,0,0,0,-1,0,1,"ignore","歩行者無視","rail_move_02",1,3,true,-1,"","","","","",""
6002010,-1,"disapeear_mob_22","npc105ii010101",0,0,0,"","","fs05_02","",0,0,"F01",0,0,10.408,1.005,-0.823,-263.802,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002011,-1,"disapeear_mob_12","npc105ii010101",0,0,0,"","","fn01_02","",0,0,"F01",0,0,3.466,0,-14.757,-321.025,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002012,-1,"disapeear_mob_13","npc105ii010101",0,0,0,"","","fst01_01","",0,0,"F01",0,0,-6.138,0,3.638,268.849,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002013,-1,"disapeear_mob_14","npc106ii010101",0,0,0,"","","fs05_01","",0,0,"F01",0,0,-7.633,-0.006,14.291,-282.082,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002014,-1,"disapeear_mob_15","npc106ii010101",0,0,0,"","","fs01_02","",0,0,"F01",0,0,-26.99,1.449,13.901,-405.602,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002015,-1,"disapeear_mob_16","npc106ii010101",0,0,0,"","","fs05_01","",0,0,"F01",0,0,10.279,1.042,2.884,-279.926,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002016,-1,"disapeear_mob_17","npc106ii010101",0,0,0,"","","fst01_02","",0,0,"F01",0,0,5.275,0.004,10.608,-302.826,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002017,-1,"disapeear_mob_18","npc105ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,6.177,-0.016,10.838,-43.316,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002018,-1,"disapeear_mob_19","npc105ii010101",0,0,0,"","","fs05_01","",0,0,"F01",0,0,10.356,0.682,-6.484,-452.616,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002019,-1,"disapeear_mob_20","npc106ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,-7.51,0,-18.129,-442.345,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002020,-1,"disapeear_mob_21","npc105ii010101",0,0,0,"","","fst01_01","",0,0,"F01",0,0,-8.913,0.003,-18.205,-273.784,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002021,-1,"disapeear_mob_11","npc106ii010101",0,0,0,"t3001_walk_disappear","","fw02_01","",0,0,"F01",0,0,8.285,6.602,21.634,-90.001,0,0,1,1,0,0,0,0,-1,1,1,"t30","歩行者無視","rail_move_011",1,0,true,-1,"","","","","",""
6002022,-1,"disapeear_mob_23","npc106ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,9.431,0.682,-6.362,-286.78,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
6002023,-1,"disapeear_mob_24","npc105ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,-7.078,0.042,2.967,80.412,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002024,-1,"disapeear_mob_25","npc106ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,-6.707,0,9.517,103.461,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002025,-1,"disapeear_mob_26","npc105ii010101",0,0,0,"","","fst02_01","",0,0,"F01",0,0,-6.038,0,9.1,9.185,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
6002026,-1,"disapeear_mob_27","npc105ii010101",0,0,0,"","","fn08_01","",0,0,"F01",0,0,-6.323,-0.001,-4.365,16.364,0,0,1,1,0,0,0,0,-1,0,0,"ignore","","",1,0,true,-1,"","","","","",""
