int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
10204002,1,"npc_2000","310","","chr237",0,0,"","","f001","",0,0,"F01",0,0,-6.992,0.002,1.524,94.632,0,0,1,1,4,160,360,1,1,1,2,0,-1,0.35,5,2,-1,2,4,2,0,"f001",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204012,1,"npc_2006","321","","chr102",0,0,"","","f000","",0,0,"F01",0,0,-4.872,0.681,9.137,185.136,0,0,1,1,3,90,360,1,1,1,2,0,-1,0.5,5,2,-1,-1,-1,2,0,"f000",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204024,1,"npc_2018","333","","chr374",0,0,"","","bn01","",0,0,"F01",0,0,7.054,0,12.505,249.937,0,0,1,1,3,160,360,1,1,1,2,0,-0.15,0.15,4.5,2,-1,2,3,2,0,"bn01",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204032,1,"npc_2026","341","","chr199",0,0,"","","f000","",0,0,"F01",2,0,5.971,0,8.388,-98.43,0,0,1,1,3,90,360,1,1,1,2,0,-0.5,0.15,4,2,-1,-1,0,0,0,"f000",0,"F01",0,1,1,0,0,0,0,0,-0.5,0,"",0,0,-1,0,-1,"","",""
10204003,2,"npc_2001","302","","chr705",0,0,"","","fq02","",0,0,"F03",0,0,-1.636,0,9.685,1057.19,0,0,1,1,3,90,360,1,1,1,2,0,0,0,4,-1,0,-1,0,0,0,"fq02",60,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204004,2,"npc_2002","303","","chr055",0,0,"","","fn02_01","",0,0,"F01",0,0,-5.009,0.746,6.698,360.754,0,0,1,1,3,90,360,1,1,1,2,0,-0.2,0,5,2,-1,2,3,2,0,"fn02_01",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204005,2,"npc_2003","304","","chr342",0,0,"","","fq02","",0,0,"F01",0,0,-2.915,0,11.603,152.025,0,0,1,1,4,90,360,1,1,1,2,0,0,0,4,2,-1,-1,0,2,1,"fq02",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204010,2,"npc_1001","401","","chr718",0,0,"","","f000","",0,0,"F01",0,0,1.467,0,-4.396,-30,0,0,1,1,4,160,360,1,1,1,2,-0.1,-1.2,0.8,5.5,2,-1,2,4,2,0,"f000",0,"F01",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10204013,2,"npc_2007","322","","chr457",0,0,"","","f000","",0,0,"F01",0,0,-3.619,0.797,1.94,-207.562,0,0,1,1,0,160,360,1,1,0,2,0,-0.2,0.15,-1,-1,0,-1,0,2,0,"f000",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"1","2",""
10204014,2,"npc_2008","323","","chr596",0,0,"","","f000","",0,0,"F01",0,0,-3.057,0.746,-0.244,17.205,0,0,1,1,3,90,360,1,1,1,2,0,-0.35,1.55,6,2,-1,-1,0,2,0,"f000",0,"F01",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
