int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
10505001,2,"vulcanus","1","","chr178",0,0,"","","e100","",0,0,"F01",0,0,0,5.339,-13.5,0,0,0,1.4,0,15,160,360,0,7,41,1,0,-3,4,-1,-1,0,-1,0,0,0,"e100",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505002,-1,"npc_0002","2","","chr609",0,0,"","","bn01","",0,0,"F01",0,0,-31.745,-0.021,-13.617,90,0,0,1,1,2,160,360,1,1,2,2,0,0,0,-1,-1,0,-1,0,0,0,"bn01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505003,-1,"npc_9000","3","","chr725",0,0,"","","e501","",0,0,"",0,0,1.252,0.594,8.179,0,0,0,0.8,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"e501",0,"",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505004,1,"Kokuwa_A","4","","chr609",0,0,"","","bn01","",0,0,"F01",0,0,5.711,-0.083,28.543,0,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,2,-1,-1,0,0,0,"bn01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505005,1,"Kokuwa_UN","5","","chr609",0,0,"","","bn01","",0,0,"F01",0,0,-5.6,-0.083,28.756,0,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,2,-1,-1,0,0,0,"bn01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505006,3,"npc_006","6","","chr178",0,0,"","","b1_bn03","chr178_stop",0,0,"F01",0,0,0,5.3,-13.5,0,0,0,1.4,0,0,0,360,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"b1_bn03",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505007,3,"npc_007","7","","chr178",0,0,"","","bf01","chr178_attack",0,0,"F01",0,0,7.703,-0.226,0.176,44.96,0,0,1.4,1,0,0,360,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"bf01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505008,3,"npc_008","8","","chr178",0,0,"","","e008","chr178_pose",0,0,"F01",0,0,-86.342,0.013,-1.621,82.064,0,0,1.4,0,0,0,360,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"e008",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505011,3,"npc_011","11","","chr178",0,0,"","","bs02","chr178_kazi",0,0,"F01",0,0,-13.527,4.919,-7.017,-37.893,0,-30,1.4,1,0,0,360,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"bs02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10505012,3,"npc_012","12","","chr609",0,0,"","","f001","chr609_attack",0,0,"F01",0,0,-5.744,-0.083,28.025,-4.059,0,0,0.1,1,2,180,360,2,2,2,2,0,0,-1.3,-1,-1,0,-1,0,0,0,"f001",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
